date,frequency,interest_rates_banking_institutions,fixed_rates_period_in_months,fixed_rates_period_in_months_1,commercial_banks_fixed_rates_period_in_months,commercial_banks_fixed_deposit_rates,commercial_banks_fixed_deposit_rates_1,weighted_average_fixed_rates_period_in_months,weighted_average_fixed_rates_period_in_months_1,commercial_banks_weighted_average_fixed_rates_period_in_months,commercial_banks_weighted_avg_fixed_deposit_rates,commercial_banks_weighted_avg_fixed_deposit_rates_1,savings_rate,weighted_average_savings_rate,base_rate2_br,weighted_average_br,base_lending_rate_blr,weighted_average_blr,average_lending_rate_alr_on_outstanding_loans,weighted_alr_on_outstanding_loans,investment_banks_fixed_rates_period_in_months,investment_banks_fixed_deposit_rates,investment_banks_fixed_deposit_rates_1,investment_banks_fixed_deposit_rates_1_1,investment_banks_fixed_deposit_rates_2,average_lending_rate_on_outstanding_loans
1998-01-01,Annual,,8.399999999999999,8.513333333333334,8.540000000000001,8.526666666666667,8.563333333333334,,,,,,4.259166666666666,,,,10.612499999999999,,12.156666666666666,,9.5825,9.685,9.590833333333334,10.268333333333336,11.387500000000001,14.613333333333332
1999-01-01,Annual,,4.095833333333334,4.1241666666666665,4.156666666666666,4.211666666666668,4.286666666666667,,,,,,3.1041666666666665,,,,7.285833333333335,,8.561666666666666,8.68473493576078,4.0425,4.1475,4.3075,5.2458333333333345,4.513333333333333,8.823333333333332
2000-01-01,Annual,,3.311666666666667,3.3608333333333333,0.0,0.0,0.0,,,,,,2.7375000000000003,,,,6.771666666666667,,7.6741666666666655,7.716468582007233,3.036666666666667,3.1225,0.0,0.0,0.0,7.29
2001-01-01,Annual,,3.3541666666666674,3.3675,3.23,3.3449999999999998,4.0,,,,,,2.5574999999999997,,,,6.6575,,7.125,7.115660357989236,2.999166666666667,3.0724999999999993,3.1499999999999995,3.2525,3.5925000000000002,7.005
2002-01-01,Annual,,3.1999999999999997,3.2100000000000004,3.2241666666666666,3.311666666666666,4.0,,,,,,2.256666666666667,,,,6.390000000000001,,6.605833333333333,6.816018804582765,2.8016666666666663,2.853333333333333,3.0049999999999994,3.126666666666667,3.2066666666666666,6.881666666666665
2003-01-01,Annual,,3.0666666666666664,3.0700000000000003,3.0766666666666667,3.121666666666666,3.7991666666666677,,,,,,1.9508333333333334,,,,6.13,,6.299166666666667,6.559191788251773,2.8241666666666667,2.8683333333333327,2.871666666666666,2.933333333333333,2.9408333333333334,6.7575
2004-01-01,Annual,,3.0,3.0,3.0016666666666665,3.0108333333333337,3.7000000000000006,,,,,,1.7116666666666667,,,,5.986666666666668,,6.047499999999999,6.33413878782613,2.7575000000000003,2.7933333333333334,2.8008333333333333,2.8608333333333333,3.016666666666667,6.5633333333333335
2005-01-01,Annual,,3.000833333333333,3.001666666666667,3.0033333333333334,3.0066666666666664,3.7000000000000006,,,,,,1.4691666666666665,,,,5.998333333333335,,5.95,6.272763823214366,2.7383333333333333,2.7624999999999997,2.7875,2.7825000000000006,2.9491666666666663,6.382499999999999
2006-01-01,Annual,,3.0883333333333334,3.1491666666666673,3.263333333333333,3.3691666666666666,3.7433333333333336,,,,,,1.4575000000000002,,,,6.613333333333333,,6.4958333333333345,6.71778574054154,3.351666666666667,3.4275,3.2683333333333326,3.3099999999999996,3.749166666666667,7.022500000000001
2007-01-01,Annual,,3.0908333333333324,3.165833333333333,3.310833333333333,3.4083333333333337,3.7058333333333344,,,,,,1.4383333333333332,,,,6.72,,6.405833333333334,6.723333333333333,3.483333333333334,3.5025,3.4616666666666664,3.6008333333333336,3.6225000000000005,6.848333333333333
2008-01-01,Annual,,3.07,3.125833333333334,3.2566666666666677,3.3341666666666665,3.6750000000000003,,,,,,1.4166666666666667,,,,6.695,,6.080000000000001,6.509166666666666,3.4491666666666667,3.5008333333333326,3.5041666666666664,3.5749999999999997,3.630833333333334,7.2225
2009-01-01,Annual,,2.0574999999999997,2.0816666666666674,2.0916666666666663,2.101666666666667,2.555833333333333,,,,,,0.9324999999999998,,,,5.6225,,5.084166666666666,5.511666666666668,2.129166666666667,2.265,2.4525,2.43,2.8766666666666665,7.039999999999999
2010-01-01,Annual,,2.4758333333333336,2.5025,2.5491666666666664,2.57,2.8091666666666666,,,,,,0.9424999999999999,,,,6.016666666666667,,5.0,5.545000000000002,2.54,2.705833333333333,2.8516666666666666,3.029166666666667,2.8866666666666667,7.2124999999999995
2011-01-01,Annual,,2.870833333333333,2.910833333333334,2.9758333333333336,3.0025,3.143333333333333,,,,,,1.0775000000000001,,,,6.449166666666668,,4.915,5.6675,2.999166666666667,3.249166666666667,3.348333333333333,3.4741666666666657,3.4616666666666673,7.074166666666667
2012-01-01,Annual,,2.9266666666666676,2.9808333333333334,3.0391666666666666,3.0649999999999995,3.1808333333333327,,,,,,1.038333333333333,,,,6.53,,4.785833333333334,5.588333333333334,3.0033333333333325,3.049166666666667,3.31,3.460833333333333,3.4424999999999994,6.985833333333333
