date,frequency,agriculture_foresty_and_fishing,construction,electricity_gas_and_water,finance_insurance_real_estate_and_business_services,government_and_other_services,manufacturing,mining_and_quarrying,transport_storage_and_communications,wholesale_retail_trade_hotels_and_restaurants,total_new_issues
2006-10-01,Monthly,,84.26932608999999,13.0,895.03,,,,1385.0,,2377.2993260900002
2006-11-01,Monthly,,236.04500000000002,1096.5,880.0,,,,39.19731749,,2251.74231749
2006-12-01,Monthly,,,941.0,2275.0,,85.0,,36.7,130.0,3467.7
2007-01-01,Annual,1060.476667,2988.7772458899994,4216.32,36714.50960469003,2000.0,1208.756688,,19355.004836520005,61.765,67605.61004210003
2007-01-01,Monthly,,30.8222,,2061.87,,22.0,,56.11128258,24.0,2194.80348258
2007-02-01,Monthly,,327.60207465,,525.0,,7.0,,25.22145397,30.0,914.82352862
2007-03-01,Monthly,,,,95.0,2000.0,,,1026.96805662,,3121.96805662
2007-04-01,Monthly,,14.8,,9618.532,,3.0,,843.67225601,1.9,10481.904256009999
2007-05-01,Monthly,540.11,404.58,1188.02,3003.492740690029,,110.04,,319.81700000000006,,5566.059740690029
2007-06-01,Monthly,,1504.52,435.0,2494.7801640000002,,11.0,,78.0,,4523.300164
2007-07-01,Monthly,,91.154,,3232.075,,60.06,,559.50718734,,3942.79618734
2007-08-01,Monthly,,36.45666,,3920.1708,,60.656688,,5.0,,4022.2841479999997
2007-09-01,Monthly,110.366667,19.78731124,370.0,1917.6778000000002,,900.0,,767.93,5.865,4091.6267782399996
2007-10-01,Monthly,200.0,19.5,380.0,3166.008,,25.0,,5.0,,3795.508
2007-11-01,Monthly,,520.7149999999999,635.0,4785.0631,,10.0,,,,5950.7781
2007-12-01,Monthly,210.0,18.84,1208.3,1894.84,,,,15667.777600000001,,18999.7576
2008-01-01,Annual,50.0,2888.3906264599996,4811.14,31052.014119999978,4786.22642676,1225.3908820000001,,4666.144753,179.187949,49658.49475721998
2008-01-01,Monthly,,192.77207845,,440.34164999999996,1150.0,,,752.23666,,2535.35038845
2008-02-01,Monthly,,27.42833419,230.0,1760.0,,20.0,,,,2037.42833419
2008-03-01,Monthly,,310.84689784,,4587.568670000001,80.0,,,445.0,,5423.41556784
2008-04-01,Monthly,,211.36533259,2021.14,1859.1488000000002,60.0,,,1535.038635,,5686.692767590001
2008-05-01,Monthly,,140.36288378,240.0,5126.0,,100.0,,950.0,,6556.36288378
2008-06-01,Monthly,,1335.99844088,45.0,5318.0,,,,766.6109500000001,,7465.60939088
2008-07-01,Monthly,,20.0,,809.779,581.25056632,,,2.258508,163.087949,1576.3760233199998
2008-08-01,Monthly,,40.722719760000004,,3179.87775,908.56844818,15.6123,,,10.0,4154.78121794
2008-09-01,Monthly,,15.751934299999999,770.0,2628.0,1340.0,350.0,,160.0,6.1,5269.851934300001
2008-10-01,Monthly,,521.78008504,595.0,3315.99265,,,,5.0,,4437.77273504
2008-11-01,Monthly,,6.98181375,390.0,159.0,,150.0,,50.0,,755.98181375
2008-12-01,Monthly,50.0,64.38010588,520.0,1868.3056000000013,666.40741226,589.778582,,,,3758.8717001400014
2009-01-01,Annual,270.0,1615.35643193,3840.0,40048.29957724,6869.296549680001,998.977797,,4927.66125,5.0,58574.59160585
2009-01-01,Monthly,,79.548165,400.0,34.8643,,,,5.0,5.0,524.412465
2009-02-01,Monthly,130.0,4.70271972,,1561.5195999999999,200.0,50.952797,,,,1947.1751167199998
2009-03-01,Monthly,,27.01883298,,3331.0,1371.62674871,,,2055.41325,,6785.058831689999
2009-04-01,Monthly,,122.14831776,,6078.299599999995,,,,,,6200.447917759995
2009-05-01,Monthly,,26.5148275,260.0,6011.9042,,,,262.248,,6560.6670275
2009-06-01,Monthly,,94.1961467,,6318.527337,,164.0,,5.0,,6581.7234837000005
2009-07-01,Monthly,30.0,,480.0,1314.3938999999998,,,,1340.0,,3164.3939
2009-08-01,Monthly,10.0,102.09866973,,810.0,1448.81980097,250.0,,10.0,,2630.9184707
2009-09-01,Monthly,,3.94975254,200.0,4989.039484240001,1039.0,500.0,,1000.0,,7731.989236780001
2009-10-01,Monthly,50.0,775.0,,2855.266156,11.0,34.025,,,,3725.2911560000002
2009-11-01,Monthly,,273.63,2500.0,4462.8009999999995,2254.85,,,,,9491.280999999999
2009-12-01,Monthly,50.0,106.549,,2280.684,544.0,,,250.0,,3231.233
2010-01-01,Annual,265.0,8522.949626159998,620.0,34219.754377,1101.49765768,697.7604700000002,,6303.21444211,398.256,52128.432572950005
2010-01-01,Monthly,50.0,,,279.945,,,,,,329.945
2010-02-01,Monthly,80.0,9.49954489,,484.22,,10.0,,291.52233,,875.2418748900001
