date,frequency,bank,less_than_500k,500k_to_1m,1m_to_5m,more_than_5m,total_outstanding
2024-07-01,Monthly,Bank-bank perdagangan / Commercial banks,36133.37297748999,26410.503478969993,76890.49277279995,96668.47486368999,236102.84409294993
2024-07-01,Monthly,Bank-bank Islam / Islamic banks,17705.190203369984,16031.727390070006,45980.60273814998,58273.98001900001,137991.50035058998
2024-07-01,Monthly,Bank-bank pelaburan / Investment banks,2.88565634,4.16058777,121.03142643000001,1406.18271197,1534.2603825100002
2024-07-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,5729.367909840002,1928.4908790099996,4118.116052220001,11635.987563480003,23411.96240455001
2024-07-01,Monthly,Jumlah / Total,59570.81674703997,44374.882335819995,127110.24298959991,167984.62515814003,399040.5672306
2024-08-01,Monthly,Bank-bank perdagangan / Commercial banks,36067.571435240025,26361.09528509001,77092.94488000998,98551.37318545998,238072.98478579998
2024-08-01,Monthly,Bank-bank Islam / Islamic banks,17755.352397699997,16057.847704619995,46423.760800219985,58601.19237195001,138838.15327449
2024-08-01,Monthly,Bank-bank pelaburan / Investment banks,2.8703026600000006,4.728102939999999,118.29430633999999,1431.3407076800002,1557.23341962
2024-08-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,5744.813884509999,1924.41432652,4155.0020572,11843.809855470001,23668.0401237
2024-08-01,Monthly,Jumlah / Total,59570.608020110005,44348.08541917001,127790.00204377,170427.71612055998,402136.4116036097
2024-09-01,Monthly,Bank-bank perdagangan / Commercial banks,36041.35644582002,26317.246563380013,77645.83793691,98907.92049203,238912.36143814
2024-09-01,Monthly,Bank-bank Islam / Islamic banks,17796.24504567999,16127.001596500002,46992.135348209995,58452.58819228,139367.97018267
2024-09-01,Monthly,Bank-bank pelaburan / Investment banks,2.5824067200000003,4.83299321,114.65763833000001,1441.29974608,1563.37278434
2024-09-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,5754.974229580001,1924.4259493999991,4314.066323360001,12202.845516759999,24196.312019099998
2024-09-01,Monthly,Jumlah / Total,59595.1581278,44373.50710249,129066.69724681,171004.65394715001,404040.01642424986
2024-10-01,Monthly,Bank-bank perdagangan / Commercial banks,35962.82654464003,26208.046655920007,77583.33456871001,100247.02928714002,240001.23705641006
2024-10-01,Monthly,Bank-bank Islam / Islamic banks,17759.619688320006,16127.509278399999,47261.93015835001,59063.11604148999,140212.17516656
2024-10-01,Monthly,Bank-bank pelaburan / Investment banks,2.68264322,4.66792054,115.39102982999998,1428.92236039,1551.6639539799999
2024-10-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,5760.449583009999,1924.9013210300006,4365.12259135,12304.42381611,24354.897311499997
2024-10-01,Monthly,Jumlah / Total,59485.57845919003,44265.125175889996,129325.77834824,173043.49150513,406119.9734884497
2024-11-01,Monthly,Bank-bank perdagangan / Commercial banks,35916.78551778002,26189.834464009993,77657.12746399998,101710.74526011002,241474.49270590002
2024-11-01,Monthly,Bank-bank Islam / Islamic banks,17725.253487140006,16133.854494709994,47576.61741804999,59940.41143105001,141376.13683095
2024-11-01,Monthly,Bank-bank pelaburan / Investment banks,2.92394556,4.71939328,114.09557138999999,1456.4040938500002,1578.1430040799996
2024-11-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,5768.695876440001,1930.73952101,4423.7987475100035,12352.472069680001,24475.706214640006
2024-11-01,Monthly,Jumlah / Total,59413.65882692003,44259.14787300999,129771.63920094998,175460.03285469004,408904.47875557
2024-12-01,Monthly,Bank-bank perdagangan / Commercial banks,35733.499041420015,26201.3530547,78052.43539068001,104493.49710483999,244480.78459164003
2024-12-01,Monthly,Bank-bank Islam / Islamic banks,17695.125929110007,16231.595049050004,48322.38234835999,61152.953676289995,143402.05700281
2024-12-01,Monthly,Bank-bank pelaburan / Investment banks,2.86341442,5.19743181,115.63456490999998,1477.6384225200002,1601.3338336599998
2024-12-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,5774.944635889997,1934.3390276800005,4557.185595070003,11840.759672339998,24107.22893098
2024-12-01,Monthly,Jumlah / Total,59206.43302084002,44372.48456324,131047.63789902002,178964.84887599,413591.40435908997
2025-01-01,Monthly,Bank-bank perdagangan / Commercial banks,35837.371157899994,26104.42362103001,78125.43952488997,105776.27324619002,245843.50755001002
