date,frequency,purpose,purchase_of_securities,fixed_assets_non_property_total,transport_vehicles_total,purchase_of_passenger_cars,transport_vehicles_others,fixed_assets_non_property_others,purchase_of_residential_property,purchase_of_non_residential_property,construction,working_capital,other_purposes,financing,memo_item_credit_card
2022-12-01,Monthly,Bank-bank pelaburan / Investment banks,831.0105710299999,0.3580196100000001,0.3580196100000001,0.0,0.3580196100000001,0.0,41.71320881,129.99374287,87.42215234999999,89.45493143,230.02057251999997,1409.9731986200004,0.0
2022-12-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,12.17318705,1185.5339140800002,268.96852495999997,8.19866999,260.76985497,916.5653891199998,47.24036070999999,1933.66447251,4082.6472975100005,6298.180191120001,7105.594457419997,20665.170373160014,0.0
2022-12-01,Monthly,Jumlah / Total,5650.66890383,27793.397384090007,22313.51339143001,14606.870991990005,7706.642399440003,5479.88399266,7213.885830639999,120314.33401699,21782.754012080004,152382.71025223998,20095.93441738,355233.8213100104,545.6780565799999
2023-01-01,Monthly,Bank-bank perdagangan / Commercial banks,3886.2103878600005,19767.524730009987,17181.12790931999,11273.043386729989,5908.084522590001,2586.3968206900004,5203.5731486800005,79891.45446536,12029.682491239997,92039.80251065994,8774.589710459999,221592.8374442701,539.96560269
2023-01-01,Monthly,Bank-bank Islam / Islamic banks,873.8885809599999,7189.218140450001,5196.13029276,3579.158340500001,1616.9719522599992,1993.0878476900004,1932.7500104399999,38753.31181515001,5409.073637239998,53055.31658402001,4293.77233585,111507.33110410994,50.200606740000005
2023-01-01,Monthly,Bank-bank pelaburan / Investment banks,823.0011734699999,0.3500615400000001,0.3500615400000001,0.0,0.3500615400000001,0.0,41.61656892,129.21743775,95.63569896000001,90.72907171000001,229.45174815999997,1410.0017605099997,0.0
2023-01-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,24.802123759999997,1217.5100370599998,270.86735495,9.081853400000002,261.78550155,946.6426821099998,47.03876807000001,1933.9864522300006,4062.58677376,10172.794958040002,4191.19594015,21650.04898357999,0.0
2023-01-01,Monthly,Jumlah / Total,5607.9022660499995,28174.602969059993,22648.47561856999,14861.283580629992,7787.19203794,5526.127350490002,7224.97849611,120707.97017049002,21596.978601199997,155358.64312442997,17489.009734620002,356160.2192924701,590.16620943
2023-02-01,Monthly,Bank-bank perdagangan / Commercial banks,3829.6506508099997,19816.084730179988,17239.037973619987,11322.525006899989,5916.51296672,2577.0467565599997,5178.778633330001,80110.99526707,11865.272629,92460.84152548003,8651.629455039998,221913.2528909101,417.62125773000014
2023-02-01,Monthly,Bank-bank Islam / Islamic banks,875.2938982200001,7285.4563828599985,5278.06885283,3632.9947081699997,1645.07414466,2007.3875300299999,1934.2362085899997,38960.86870744,5460.431538960002,53806.944653750026,4304.58925062,112627.82064043997,51.96982827000001
2023-02-01,Monthly,Bank-bank pelaburan / Investment banks,867.3643481799999,0.34224330000000003,0.34224330000000003,0.0,0.34224330000000003,0.0,41.50215131,128.32689197,97.31100415,90.45768917,228.23542829000002,1453.5397563699998,0.0
2023-02-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,24.5237694,1230.4155658700004,273.61138953000005,8.06996665,265.54142288,956.8041763400004,46.71542433,1949.8191143600002,4087.0918710800006,10249.955957419998,4117.3737584,21706.026785739996,0.0
2023-02-01,Monthly,Jumlah / Total,5596.832666609999,28332.298922209986,22791.060459279986,14963.589681719986,7827.47077756,5541.238462930001,7201.232417560001,121150.00998084001,21510.10704319,156608.19982582005,17301.827892349997,357700.64007346,469.59108600000025
