date,frequency,outstanding_total_abs,outstanding_household_abs,outstanding_business_abs,outstanding_private_non_financial_abs,credit_total_abs,credit_business_abs,outstanding_total_yoy,outstanding_household_yoy,outstanding_business_yoy,outstanding_private_non_financial_yoy,credit_total_yoy,credit_business_yoy
2023-06-01,Monthly,2086349.3131645718,1337919.4118794794,748429.9012850896,561532.61211961,2647881.9252841817,1309962.5134046995,3.4534273007602145,5.1192715703390235,0.6034349741624867,4.86102040506462,3.748767365271166,2.385417801165257
2023-07-01,Monthly,2089354.4067360067,1344004.39324915,745350.0134868602,566387.8663346799,2655742.2730706865,1311737.87982154,3.3797929029594,5.154722328528272,0.32622757629143795,5.240786257400321,3.771142915973069,2.3907909556850626
2023-08-01,Monthly,2103456.2729962296,1352788.5355086967,750667.7374875294,565812.6680475001,2669268.94104373,1316480.4055350295,3.688719838305632,5.284169744890099,0.9323799303924352,4.384760061535475,3.8354851327571993,2.387798744097802
2023-09-01,Monthly,2119912.146198219,1361157.6659529596,758754.4802452598,570185.58585378,2690097.7320519993,1328940.0660990397,4.104129735715745,5.360902859971128,1.923121614777834,5.0322585516160645,4.299480841900283,3.2342700968231775
2023-10-01,Monthly,2127958.296365127,1369895.0382133825,758063.2581517503,573083.98632884,2701042.282693967,1331147.2444805903,3.982631671493908,5.568420627055781,1.234597246685576,5.027897337218201,4.2026646254680555,2.8335645989832736
2023-11-01,Monthly,2140830.8782772482,1377988.6801843487,762842.1980928994,572167.99802695,2712998.876304198,1335010.1961198496,4.611062300543312,5.669812115089279,2.751370499624284,4.636807861659564,4.616490952236796,3.551059559391634
2023-12-01,Monthly,2162637.0670844773,1386502.9388491886,776134.1282352903,573441.0174794199,2736078.084563897,1349575.1457147102,4.978170073910504,5.6855080343271025,3.737852792734464,4.153385343817129,4.804227341257494,3.9140087933822842
2024-01-01,Annual,2284867.460170329,1468607.6519319706,816259.8082383604,593109.57440462,2877977.034574949,1409369.3826429804,5.651914273837666,5.921712156696168,5.1699414499790874,3.429918043123914,5.186217119007019,4.430597074800469
2024-01-01,Monthly,2169016.893667378,1394186.5381174001,774830.3555499795,571533.11878874,2740550.012456118,1346363.4743387196,5.47363221529813,6.037985933965961,4.473151151061527,3.57239548431616,5.071396758864677,4.0888724036648005
2024-02-01,Monthly,2179411.432858037,1398060.2395425881,781351.1933154495,571649.05428473,2751060.487142767,1353000.2476001796,5.697727356795856,6.104372672881242,4.977847929362311,3.305211568339539,5.191503517105112,4.264588129511626
