date,frequency,sector,agriculture_forestry_and_fishing,mining_and_quarrying,manufacturing,electricity_gas_steam_and_air_conditioning_supply,water_supply_sewerage_waste_management_and_remediation_activities,construction,wholesale_retail_motor_trade_total,wholesale_trade_except_of_motor_vehicles_and_motorcycles,retail_trade_except_of_motor_vehicles_and_motorcycles,wholesale_retail_motor_trade_others,accommodation_and_food_service_activities,transportation_storage,information_communication,financial_and_insurance_takaful_activities,real_estate_activities,professional_scientific_and_technical_activities,administrative_and_support_service_activities,education_health_and_others,other_sector,total_outstanding_loan_financing
2022-03-01,Monthly,Bank-bank pelaburan / Investment banks,1.02308803,60.379311019999996,45.915229159999996,9.90776083,14.856674129999998,32.92403025,17.76959292,17.68276837,0.08682455,0.0,8.61632355,0.94592285,21.40862115,260.08396379000004,287.43734562000003,492.96927282,29.650083579999997,175.37941386,34.37709721999977,1493.64373078
2022-03-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,2889.566059439999,64.42208260999999,2175.0928910600005,80.07844536,49.83591362000001,5195.58380885,3182.283538960001,1582.9299668300002,1093.5895782500004,505.76399388000027,1449.63417156,875.2970411099999,333.87448695,252.88027007999997,600.6291519199999,434.14701310999993,320.04985118,1306.4952932300005,221.12271368999063,19430.99273272999
2022-03-01,Monthly,Jumlah / Total,13024.6267091,1541.9069804799994,50904.96119689,2884.6676697599996,1899.18642802,44832.61671884,97064.81029239,56802.98790703001,24900.229703,15361.592682359988,11123.690832780001,13263.391339169997,4118.464533189999,7046.1904795,56963.80000469999,18127.41312792,5318.11113155,11877.66294915,1024.742740509566,341016.2431339496
2022-04-01,Monthly,Bank-bank perdagangan / Commercial banks,5796.1007636800005,975.3558240100002,33882.06132703001,1142.47951211,1264.7252107900001,27428.129832109993,65219.15359947,39543.74022385001,15767.47894885,9907.93442677,7958.249642569997,8038.7494191199985,2291.2737497900002,4655.293823919999,39820.96443362,10591.246398189996,3027.52661727,6027.33905379,499.5959037694556,218618.24511123943
2022-04-01,Monthly,Bank-bank Islam / Islamic banks,4282.447655819998,473.44437261,14887.915187750003,1658.5194077599995,621.40429771,12060.631682949997,28304.38456528,15496.64862267,7926.765319860003,4880.970622749999,1699.81718379,4429.425357340001,1608.1263163,1793.9205506599997,16066.036000910004,6501.10327681,1931.4471652200002,4332.06864105,260.73528239989537,100911.4269443599
2022-04-01,Monthly,Bank-bank pelaburan / Investment banks,1.03102639,59.5761875,46.13455531999999,13.779354849999999,14.266296259999999,32.77518521,17.51105305,17.423836100000003,0.08721695,0.0,8.67934166,1.7069299199999999,21.453675890000003,267.43579929000003,285.15245793,510.46807061000004,29.718451469999998,177.12402133999998,31.61548700000003,1518.42789369
2022-04-01,Monthly,Institusi kewangan pembangunan / Development financial institutions,2904.89176917,63.17951038,2186.5520315000003,81.81313067999999,48.89053484,5225.611213869999,3239.8681172299994,1630.1729119999995,1110.17050373,499.52470149999954,1463.3330222400004,876.6367690899999,325.11970182,252.2276934599999,601.2706265199998,404.86835109,324.32905387,1301.0198484600003,218.0854609499911,19517.69683516999
2022-04-01,Monthly,Jumlah / Total,12984.471215059997,1571.5558945000002,51002.6631016,2896.5914053999995,1949.2863396000005,44747.14791414,96780.91733503,56687.985594620004,24804.50198939,15288.429751019998,11130.079190259998,13346.518475469997,4245.9734438000005,6968.877867329999,56773.42351898001,18007.686096699996,5313.021287830001,11837.551564640002,1010.0321341193048,340565.7967844593
2022-05-01,Monthly,Bank-bank perdagangan / Commercial banks,5731.17912144,987.2899237499997,34062.93888698,1163.1617108900004,1260.33177664,27598.387557860005,65617.27081217001,39889.41700664,15735.837481460003,9992.016324070013,7822.438216980001,8045.684297089999,2408.5364768300005,4660.677442349999,39772.63309926999,10320.2729334,3043.2222646199994,5909.088023479999,504.6887536692375,218907.8012974192
2022-05-01,Monthly,Bank-bank Islam / Islamic banks,4277.079537299999,476.6441059,15091.591495070006,1677.64424045,627.64942722,12144.494220700002,28745.922230939996,15805.804204439999,8013.041560149998,4927.076466349998,1755.0460197199998,4441.592707989999,1616.12165678,1789.8921724300005,16122.320374429995,6520.550738169999,1964.0000348699998,4363.9545265199995,264.8419753300841,101879.34546382008
