date,frequency,usd_rm_spot,usd_rm_swap,bank_of_interbank_transactions_in_the_foreign_exchange_market_usd_rm_total,usd_sgd_spot,usd_sgd_swap,bank_of_interbank_transactions_in_the_foreign_exchange_market_usd_sgd_total,usd_jpy_spot,usd_jpy_swap,bank_of_interbank_transactions_in_the_foreign_exchange_market_usd_jpy_total,gbp_usd_spot,gbp_usd_swap,bank_of_interbank_transactions_in_the_foreign_exchange_market_gbp_usd_total,usd_spot,usd_swap,bank_of_interbank_transactions_in_the_foreign_exchange_market_usd_total,usd_spot_1,usd_swap_1,bank_of_interbank_transactions_in_the_foreign_exchange_market_rm_million_total
2003-03-01,Monthly,2561.2,10034.7,12595.9,1087.0,0.0,1087.0,1815.9,0.0,1815.9,146.0,0.0,146.0,348.9,0.0,348.9,57.0,0.0,57.0
2003-04-01,Monthly,2067.2,13473.6,15540.8,978.5,0.0,978.5,2130.5,0.0,2130.5,87.6,0.0,87.6,357.3,82.2,439.5,7.6,0.0,7.6
2003-05-01,Monthly,2422.9,14261.9,16684.8,1028.8,0.0,1028.8,2237.9,0.0,2237.9,182.0,0.0,182.0,531.9,0.0,531.9,13.3,0.0,13.3
2003-06-01,Monthly,2543.7,13615.6,16159.3,773.7,0.0,773.7,2291.4,0.0,2291.4,132.0,0.0,132.0,850.3,0.0,850.3,0.0,0.0,0.0
2003-07-01,Monthly,2966.9,12501.6,15468.5,1166.9,0.0,1166.9,3123.7,0.0,3123.7,518.1,0.0,518.1,846.3,0.0,846.3,11.8,0.0,11.8
2003-08-01,Monthly,2239.3,13231.6,15470.9,934.9,0.0,934.9,2723.9,0.0,2723.9,362.8,0.0,362.8,1014.7,0.0,1014.7,7.6,0.0,7.6
2003-09-01,Monthly,2720.0,12130.7,14850.7,1159.2,0.0,1159.2,2615.9,0.0,2615.9,407.9,0.0,407.9,652.1,0.0,652.1,0.0,0.0,0.0
2003-10-01,Monthly,3396.1,14570.6,17966.7,1019.3,0.0,1019.3,2581.2,0.0,2581.2,262.7,0.0,262.7,1152.6,0.0,1152.6,0.0,0.0,0.0
2003-11-01,Monthly,2689.1,11661.1,14350.2,866.6,0.0,866.6,2740.6,0.0,2740.6,415.0,0.0,415.0,1122.4,0.0,1122.4,7.6,0.0,7.6
2003-12-01,Monthly,2877.7,13393.0,16270.7,960.5,0.0,960.5,2175.7,0.0,2175.7,291.7,0.0,291.7,922.3,0.0,922.3,0.0,0.0,0.0
2004-01-01,Annual,54960.0,228583.8,283543.8,13299.4,0.0,13299.4,45398.7,0.0,45398.7,50955.5,0.0,50955.5,19618.0,0.0,19618.0,43.8,0.0,43.8
2004-01-01,Monthly,2699.5,13594.5,16294.0,1033.6,0.0,1033.6,2069.4,0.0,2069.4,1674.0,0.0,1674.0,3311.8,0.0,3311.8,0.0,0.0,0.0
2004-02-01,Monthly,2321.0,15208.1,17529.1,1627.8,0.0,1627.8,2827.3,0.0,2827.3,2738.5,0.0,2738.5,1806.5,0.0,1806.5,0.0,0.0,0.0
2004-03-01,Monthly,3556.0,20241.6,23797.6,1584.2,0.0,1584.2,3477.7,0.0,3477.7,1304.4,0.0,1304.4,2343.9,0.0,2343.9,0.0,0.0,0.0
2004-04-01,Monthly,3775.7,20941.9,24717.6,1132.0,0.0,1132.0,5025.5,0.0,5025.5,4687.2,0.0,4687.2,1791.9,0.0,1791.9,0.0,0.0,0.0
2004-05-01,Monthly,2886.5,16084.4,18970.9,2157.5,0.0,2157.5,4293.2,0.0,4293.2,3255.7,0.0,3255.7,1388.4,0.0,1388.4,4.9,0.0,4.9
2004-06-01,Monthly,2705.2,16534.6,19239.8,1823.0,0.0,1823.0,5329.1,0.0,5329.1,9277.6,0.0,9277.6,2127.1,0.0,2127.1,22.8,0.0,22.8
2004-07-01,Monthly,3155.9,15526.2,18682.1,1315.1,0.0,1315.1,6156.7,0.0,6156.7,13662.7,0.0,13662.7,2037.4,0.0,2037.4,11.4,0.0,11.4
2004-08-01,Monthly,4759.5,18250.9,23010.4,943.3,0.0,943.3,4721.9,0.0,4721.9,8709.2,0.0,8709.2,1229.1,0.0,1229.1,0.0,0.0,0.0
2004-09-01,Monthly,7663.8,24156.0,31819.8,566.7,0.0,566.7,3191.2,0.0,3191.2,1562.4,0.0,1562.4,1080.1,0.0,1080.1,4.7,0.0,4.7
2004-10-01,Monthly,7280.8,21509.9,28790.7,585.4,0.0,585.4,2922.3,0.0,2922.3,2437.5,0.0,2437.5,972.6,0.0,972.6,0.0,0.0,0.0
2004-11-01,Monthly,6879.1,18599.3,25478.4,210.1,0.0,210.1,2461.4,0.0,2461.4,507.3,0.0,507.3,822.0,0.0,822.0,0.0,0.0,0.0
2004-12-01,Monthly,7277.0,27936.4,35213.4,320.7,0.0,320.7,2923.0,0.0,2923.0,1139.0,0.0,1139.0,707.2,0.0,707.2,0.0,0.0,0.0
2005-01-01,Annual,236014.410676,367474.4709056304,603488.8815816303,5340.396692,58.815,5399.211692000001,23398.50438,341.79,23740.29438,3837.200424878399,0.0,3837.200424878399,11247.78094344,18.895,11266.675943440001,81.7690455476,2.65797781243,84.42702336003
2005-01-01,Monthly,12363.832,39196.783,51560.615000000005,421.42,0.0,421.42,734.92,0.0,734.92,430.075,0.0,430.075,1377.332,0.0,1377.332,0.0,1.1857,1.1857
2005-02-01,Monthly,9241.372,21582.1,30823.471999999998,312.55,0.0,312.55,1362.68,0.0,1362.68,291.601536,0.0,291.601536,1023.683,0.0,1023.683,11.78,0.0,11.78
2005-03-01,Monthly,14992.254,29940.58,44932.834,479.75,0.0,479.75,3334.2492,0.0,3334.2492,465.717217,0.0,465.717217,1475.879,0.0,1475.879,24.32,0.0,24.32
2005-04-01,Monthly,9906.771,27658.4064,37565.1774,528.39,0.0,528.39,1587.944,0.0,1587.944,389.657947,0.0,389.657947,537.662076,0.0,537.662076,21.66,0.0,21.66
2005-05-01,Monthly,15457.801,31049.42,46507.221,300.162,0.0,300.162,2231.265,0.0,2231.265,337.902,0.0,337.902,964.125,0.0,964.125,0.0,0.0,0.0
2005-06-01,Monthly,12616.836,33246.846,45863.682,569.24,0.0,569.24,2684.32,304.0,2988.32,360.46,0.0,360.46,1321.393,0.0,1321.393,0.0,0.0,0.0
2005-07-01,Monthly,35569.103,31741.996,67311.099,817.15,2.195,819.345,2191.532,0.0,2191.532,358.785,0.0,358.785,739.086,0.0,739.086,1.975,0.0,1.975
2005-08-01,Monthly,28545.812,33387.79,61933.602,397.794,0.0,397.794,3012.189,0.0,3012.189,335.759,0.0,335.759,541.493,0.0,541.493,13.126,0.897,14.023
2005-09-01,Monthly,22980.018336,33312.388955999995,56292.407291999996,426.79395,0.0,426.79395,1831.9164600000001,0.0,1831.9164600000001,262.901907576,0.0,262.901907576,753.0793380000001,0.0,753.0793380000001,1.3520455476,0.0,1.3520455476
2005-10-01,Monthly,30850.462720000003,34504.23592000001,65354.69864000001,301.46270000000004,37.73,339.19270000000006,2000.21822,0.0,2000.21822,199.39289610240002,0.0,199.39289610240002,1015.95571,0.0,1015.95571,0.0,0.0,0.0
2005-11-01,Monthly,23714.50986,23670.76244963034,47385.27230963034,341.9995,0.0,341.9995,1070.5907,37.79,1108.3807,173.3483985,0.0,173.3483985,390.42458854,18.895,409.31958854,0.0,0.57527781243,0.57527781243
2005-12-01,Monthly,19775.63876,28183.162180000003,47958.80094,443.68454199999996,18.89,462.57454199999995,1356.6798000000001,0.0,1356.6798000000001,231.5995227,0.0,231.5995227,1107.6682309,0.0,1107.6682309,7.556,0.0,7.556
2006-01-01,Annual,458781.2841405985,407697.51557774085,866478.7997183395,9736.002374705422,4169.0610418624265,13905.063416567848,26800.047426799978,36.2897264054964,26836.337153205477,4818.785360487926,24.159062084200002,4842.944422572125,13712.749145515356,90.81100665465001,13803.560152170006,73.7775067863266,0.0,73.7775067863266
2006-01-01,Monthly,39533.06167986037,31803.2039778125,71336.26565767288,450.75031249999995,0.0,450.75031249999995,1103.9817187499998,0.0,1103.9817187499998,299.7692481445313,0.0,299.7692481445313,565.424682556375,0.0,565.424682556375,0.0,0.0,0.0
2006-02-01,Monthly,31789.189780799996,37180.702938719995,68969.89271952,371.33071199999995,0.0,371.33071199999995,1400.6922539999998,0.0,1400.6922539999998,187.36540940711998,0.0,187.36540940711998,458.55752656140004,0.0,458.55752656140004,0.0,0.0,0.0
2006-03-01,Monthly,36947.308005617095,45092.203418159996,82039.51142377709,562.4068560000001,0.0,562.4068560000001,966.98412,0.0,966.98412,169.768789323,0.0,169.768789323,427.02305500008003,0.0,427.02305500008003,0.0,0.0,0.0
2006-04-01,Monthly,43776.71289278295,31860.846531600004,75637.55942438295,421.87017971560954,0.0,421.87017971560954,943.5501600000001,0.0,943.5501600000001,336.36874588200004,0.0,336.36874588200004,719.2586609982,0.0,719.2586609982,15.383970000000001,0.0,15.383970000000001
2006-05-01,Monthly,71474.54971429352,41028.9438982,112503.49361249352,582.80248,0.0,582.80248,1214.8074173512682,0.0,1214.8074173512682,429.16736848635,0.0,429.16736848635,860.5539273391,0.0,860.5539273391,2.8923200000000002,0.0,2.8923200000000002
2006-06-01,Monthly,36900.43637273403,37443.27081978,74343.70719251403,575.01878,0.0,575.01878,2043.2211898,0.0,2043.2211898,360.745185306128,0.0,360.745185306128,1495.67981771628,13.9327416648,1509.61255938108,9.15635,0.0,9.15635
2006-07-01,Monthly,33694.46168930839,35888.054962,69582.5166513084,569.2349055491861,0.0,569.2349055491861,2491.837607699857,0.0,2491.837607699857,610.04374539642,6.764734369,616.8084797654201,1444.996838496077,60.532009049850004,1505.5288475459272,14.307969,0.0,14.307969
