date,frequency,bank_negara_malaysia_statement_of_capital_and_liabilities,paid_up_capital,reserves,currency_in_circulation,financial_institutions,federal_government,deposits_others,bank_negara_bills_and_bonds,allocation_of_special_drawing_rights,other_liabilities,total_liabilities
2004-05-01,Monthly,,100,,30506.1,126859.8,12960.1,5669.1,13935.5,782.3,4416.0500000000175,235938.45
2004-06-01,Monthly,,100,,29877.7,129207.4,9959.5,8383.7,13943.0,774.7,4854.329999999993,235895.83
2004-07-01,Monthly,,100,,30059.1,128962.2,11290.6,7042.4,15440.7,774.7,5156.959999999992,237622.16
2004-08-01,Monthly,,100,,30586.3,124159.3,14871.1,7108.6,16440.3,774.7,5514.520000000013,238350.32
2004-09-01,Monthly,,100,,30222.9,128393.7,18629.0,6840.5,16433.5,776.2,5799.13,247479.13
2004-10-01,Monthly,,100,,32337.1,127643.1,23132.2,8187.3,16871.6,776.2,8104.3900000000085,257436.09
2004-11-01,Monthly,,100,,31305.9,133876.7,22018.8,9901.5,16877.3,776.2,15763.06,270903.66
2004-12-01,Monthly,,100,,32353.9,124709.1,25704.7,4884.4,16877.4,820.6,29390.34,285109.54
2005-01-01,Annual,,100,,34396.7,140606.6,27273.9,4297.2,20347.6,751.1,29551.9,295432.8
2005-01-01,Monthly,,100,,35258.8,111105.9,25339.7,7185.5,17251.5,820.6,49201.75,296532.85
2005-02-01,Monthly,,100,,33994.1,113249.3,28519.7,8747.5,17250.1,820.6,51763.28,304705.28
2005-03-01,Monthly,,100,,32441.3,119083.0,32219.7,8013.8,17233.2,798.3,49984.09,306729.69
2005-04-01,Monthly,,100,,32754.0,132339.1,28740.9,8491.3,18604.8,798.3,43213.17,311897.87
2005-05-01,Monthly,,100,,32308.2,141631.6,29763.0,6585.2,19598.5,798.3,38237.98,315879.08
2005-06-01,Monthly,,100,,31776.6,152617.1,30344.3,5854.1,19585.6,769.6,35303.2,317156.1
2005-07-01,Monthly,,100,,32437.1,160474.8,30507.0,6551.7,20003.3,769.6,36931.3,328699.4
2005-08-01,Monthly,,100,,32884.5,163242.1,32479.6,6150.8,20011.3,769.6,37891.7,334454.2
2005-09-01,Monthly,,100,,32555.5,162799.7,36477.7,4707.5,19985.1,759.7,38432.6,333640.3
2005-10-01,Monthly,,100,,37566.7,144636.8,37460.9,7400.9,20373.9,759.7,35439.0,321560.4
2005-11-01,Monthly,,100,,33319.5,142688.2,34840.4,8250.4,20365.7,759.7,27902.2,306048.6
2005-12-01,Monthly,,100,,34396.7,140606.6,27273.9,4297.2,20347.6,751.1,29551.9,295432.8
2006-01-01,Monthly,,100,,40635.0,140184.8,20886.3,4302.2,20362.7,751.1,35220.9,298189.8
2006-01-01,Annual,,100,,37896.0,176459.4,16624.7,2199.4,24793.9,736.7,31668.4,323028.0
2006-02-01,Monthly,,100,,35413.9,146558.3,18591.4,8131.7,19867.6,751.1,36371.1,301531.9
2006-03-01,Monthly,,100,,34734.5,150712.6,22675.6,4578.7,19860.7,737.6,33826.1,299939.2
2006-04-01,Monthly,,100,,35196.1,158877.9,26258.8,4113.0,19347.6,737.6,29620.7,306965.1
2006-05-01,Monthly,,100,,34626.0,160879.3,34153.4,3780.3,19323.2,737.6,32221.6,318534.8
2006-06-01,Monthly,,100,,34856.5,152040.6,36797.6,2278.7,19319.0,753.8,34969.0,318317.6
2006-07-01,Monthly,,100,,35347.2,145737.4,38548.9,2256.2,19832.5,753.8,40002.2,319780.6
2006-08-01,Monthly,,100,,35553.9,139953.4,36985.7,2101.9,21311.3,753.8,46544.5,320506.9
2006-09-01,Monthly,,100,,35505.6,140295.8,38107.5,2181.5,21309.7,757.2,45393.1,322706.2
2006-10-01,Monthly,,100,,38012.7,143218.8,37219.9,2600.7,21365.5,757.2,40601.1,322931.7
2006-11-01,Monthly,,100,,35565.4,163291.0,28061.7,1964.2,21347.2,757.2,35048.6,325191.1
2006-12-01,Monthly,,100,,37896.0,176459.4,16624.7,2199.4,24793.9,736.7,31668.4,323028.0
2007-01-01,Annual,,100,,42192.729256,231591.665147,14274.46201,2819.726945,69009.960464,726.822946,34518.924334,424881.410206
2007-01-01,Monthly,,100,,38597.1,185022.6,13685.5,2386.8,28148.4,736.7,40458.3,339425.4
2007-02-01,Monthly,,100,,40201.7,197295.1,14110.4,2607.2,34350.5,736.7,42830.8,362522.4
2007-03-01,Monthly,,100,,38200.4,202620.9,15667.4,2715.3,40209.0,726.0,42971.0,371083.0
2007-04-01,Monthly,,100,,39304.7,206770.8,19434.2,5047.2,50030.6,726.0,40452.9,389739.3
2007-05-01,Monthly,,100,,37667.2,238681.3,25300.7,2442.6,55793.2,726.0,45109.6,433693.6
2007-06-01,Monthly,,100,,38137.1,229099.6,29342.2,8407.9,60291.4,727.3,42873.9,439519.4
2007-07-01,Monthly,,100,,38553.1,238062.2,27169.6,2265.8,66325.1,727.3,35961.45,439704.4
2007-08-01,Monthly,,100,,40205.342864,210347.117724,23641.263043,2662.746983,70295.885576,727.326021,35081.455316,413600.97145
