date,frequency,m3,m2,m1,currency_in_circulation,demand_deposits,narrow_quasi_money,savings_deposits,fixed_deposits,nids,repos,fx_deposits,other_deposits,deposits_placed_other_banking_inst
2014-02-01,Monthly,1462400.30099799,1444810.65588199,325880.72828299,66678.12634499001,259202.60193799998,1118929.927599,137590.258962,673476.509599,17994.940453,441.605453,85099.366439,204327.246693,17589.64511599997
2014-03-01,Monthly,1475936.9967622,1459864.0668501998,327064.1755722,66327.45821819999,260736.717354,1132799.8912779998,136955.971712,679618.5095679999,18074.404619,49.713344,88880.32790599999,209220.96412900003,16072.929912000196
2014-04-01,Monthly,1486408.45282635,1469619.31941935,325494.86870535003,65609.09143335001,259885.777272,1144124.450714,137092.976831,687109.1793670001,17741.081835999998,515.427517,89574.70231400001,212091.082849,16789.133406999987
2014-05-01,Monthly,1495425.97312127,1476642.7089382699,324030.83956427,66197.66476827001,257833.17479599998,1152611.869374,135260.36556,685784.578813,24304.611942,2789.18536,91368.16677,213104.960929,18783.264183000196
2014-06-01,Monthly,1496460.5251217,1479547.4481147,329259.8308657,65531.14690669999,263728.683959,1150287.617249,136128.235899,679784.506704,18011.548081,1146.39249,93801.57363599997,221415.36043899995,16913.0770070001
2014-07-01,Monthly,1506044.2106601,1489302.3101090998,331856.7553061,68323.84904210002,263532.906264,1157445.5548029998,136394.755469,681048.338701,18006.395468,2205.373948,97961.61152599998,221829.079691,16741.900551000144
2014-08-01,Monthly,1497171.2812732602,1480834.24114626,322962.38100526,66890.93378025999,256071.447225,1157871.860141,134136.58483,687515.903071,20785.846823,1033.370012,91165.973363,223234.18204200006,16337.040127000306
2014-09-01,Monthly,1506485.3770338302,1492807.26053283,330415.52807883,65701.74840583,264713.779673,1162391.732454,134290.67480500002,687702.447774,21676.682545,0.0,92522.73020099998,226199.19712899998,13678.116501000244
2014-10-01,Monthly,1519719.9870700599,1504906.79754106,327548.61299306003,65928.13393505999,261620.47905800003,1177358.1845479999,132410.24654999998,698886.883784,23835.857914999993,0.0,90696.56818999998,231528.628109,14813.18952899985
2014-11-01,Monthly,1530728.00946665,1517095.9516956501,330932.83105765004,67175.92523364999,263756.905824,1186163.120638,131721.43416900001,707468.7383800001,25269.589058,0.0,91190.751359,230512.60767199998,13632.057770999847
