date,frequency,m3_total,net_claims_on_gov_total,claims_on_gov,gov_deposits,claims_on_private_sector_total,loans,securities,net_foreign_assets_total,bnm,banking_system,other_influences
2014-07-01,Monthly,1506044.2106601,83135.27088570998,138463.20234375,55327.93145804001,1378683.1856915797,1231356.7024625796,147326.483229,537164.9966328801,416789.6485924,120375.34804048,-492939.2425500698
2014-08-01,Monthly,1497171.28127326,81882.11703721998,140389.01946838,58506.90243116001,1385331.9696326097,1239203.1374166098,146128.83221599998,529565.3459703401,417471.10407825,112094.24189209004,-499608.15136690973
2014-09-01,Monthly,1506485.3770338302,86156.24353210002,144692.21191128003,58535.96837918001,1398563.3333184102,1251933.6224594102,146629.710859,513288.27114878,410321.4984003,102966.77274848,-491522.47096546
2014-10-01,Monthly,1519719.9870700594,86287.36784605002,151173.48382944003,64886.11598339,1410382.2021813297,1263599.6251383298,146782.577043,509646.6447224099,413099.48686892993,96547.15785347998,-486596.22767973033
2014-11-01,Monthly,1530728.00946665,92088.59311566001,156507.20567646003,64418.612560800015,1422502.0574565497,1273517.1713105498,148984.886146,499418.71428933996,405089.11571586,94329.59857347999,-483281.35539489967
2014-12-01,Monthly,1557612.31459431,104330.53959442998,155350.30497543,51019.765381000005,1439345.56960459,1290295.61171359,149049.957891,505039.39073220995,400059.54797073,104979.84276147996,-491103.18533692
2015-01-01,Monthly,1557187.6932472503,108660.78294048,162772.76615583,54111.98321535,1447652.2974235099,1296641.5222265099,151010.77519699998,492295.6008844601,379637.8187299801,112657.78215448001,-491420.98800119956
2015-02-01,Monthly,1564038.12416084,101619.48828031003,156450.24476932004,54830.75648901,1455593.59527803,1303816.67302203,151776.92225600002,493364.63417106005,379158.70937958,114205.92479148005,-486539.59356856014
2015-03-01,Monthly,1592558.6701514304,99720.81942106,153745.2631952,54024.443774139996,1467732.3452477402,1315531.29264274,152201.052605,510607.84510273003,382794.07779825,127813.76730448002,-485502.3396200997
2015-04-01,Monthly,1583131.69299332,92831.37112114002,151594.07099965002,58762.69987850999,1467908.52755235,1315380.02365035,152528.503902,505983.95896632,385492.39201383997,120491.56695247999,-483592.16464648984
2015-05-01,Monthly,1579862.4249439102,81935.78297700001,152004.78408452,70069.00110752,1478293.3802700203,1326960.7679040204,151332.61236600002,501368.93676485,387441.84938837,113927.08737648,-481735.6750679603
2015-06-01,Monthly,1584443.2409687797,79310.67383999004,157524.17880569003,78213.50496569999,1490891.4432735199,1337830.73991152,153060.70336199997,507088.56955324,391023.87703676004,116064.69251647998,-492847.4456979702
2015-07-01,Monthly,1570074.16046867,80611.85667459003,159826.93019733002,79215.07352273999,1499633.0384516101,1344834.55884161,154798.47961,479673.73870852,357576.36271104,122097.37599748,-489844.4733660502
2015-08-01,Monthly,1571522.2727962895,80165.22931227,157721.23779047,77556.0084782,1515406.1347193497,1358886.2507253496,156519.88399400003,463495.81026849,350578.33265101,112917.47761747999,-487544.90150381986
2015-09-01,Monthly,1593104.17218926,90080.21845564,158656.52621879,68576.30776315,1527885.0714570698,1370684.4857850699,157200.58567200004,520957.9146953599,406784.38034987997,114173.53434547994,-545819.0324188098
2015-10-01,Monthly,1585169.9641837003,87604.6289829,153744.72487861,66140.09589571,1537173.39400617,1376649.1672821702,160524.226724,531098.94460337,409593.77133589,121505.17326747999,-570707.0034087399
2015-11-01,Monthly,1592321.5312015198,89729.84795946002,152600.05810651003,62870.210147050006,1544948.26282253,1382310.17291453,162638.08990800002,541765.16648963,411766.52613115,129998.64035848001,-584121.7460701002
2015-12-01,Monthly,1603938.0351888905,96685.55954474001,154997.23505163,58311.67550689,1558320.80389672,1396417.62442372,161903.17947300005,521246.0465106801,401086.72311620007,120159.32339448004,-572314.3747632499
2016-01-01,Monthly,1597275.3067143003,102789.65487937002,158635.49978768002,55845.84490831,1566338.7587453006,1403920.7487453006,162418.01,515294.49334972,402050.07876024005,113244.41458947999,-587147.6002600903
2016-02-01,Monthly,1612464.2617452103,100468.52409857998,159052.48499236998,58583.96089379,1572496.34685473,1407056.7141417302,165439.63271299994,529259.0489997499,402409.41220727,126849.63679247999,-589759.6582078497
2016-03-01,Monthly,1613189.95771139,94321.88760966006,155905.24090367006,61583.35329401,1570993.3614794002,1407300.9048014001,163692.456678,503501.88481101,374155.32447653,129346.56033447996,-555627.1761886806
2016-04-01,Monthly,1611143.38567975,94981.57322583001,155682.50530231002,60700.932076480014,1574904.5535060603,1405698.2000180602,169206.35348800002,500455.31774795987,373921.6152994799,126533.70244847993,-559198.0588001001
2016-05-01,Monthly,1620291.89768178,91228.01154614,159425.38625001,68197.37470387,1584420.6450280903,1416266.9364340904,168153.70859400003,506009.05759708,375185.3658906,130823.69170647999,-561365.8164895305
2016-06-01,Monthly,1621162.4790724902,92396.58792241,158209.21554716,65812.62762475,1593388.19652143,1424245.43805543,169142.75846600003,505535.29736373003,382775.32055225,122759.97681148,-570157.6027350797
2016-07-01,Monthly,1607918.4765906301,90831.38709773998,151014.60893447997,60183.22183673999,1597196.4884346104,1426718.7352286105,170477.753206,502998.88804885006,383490.08664537006,119508.80140347999,-583108.2869905703
2016-08-01,Monthly,1609689.4250573297,83955.81499025,151873.67295314,67917.85796288999,1603191.25022304,1431577.9479180402,171613.30230500002,502891.79491686006,384344.36244638,118547.43247048002,-580349.4350728202
2016-09-01,Monthly,1629047.9033549302,94367.01336936004,150605.21640276004,56238.2030334,1616991.61047753,1442989.57618753,174002.03428999995,507748.07278931,397159.51433383004,110588.55845548,-590058.7932812697
2016-10-01,Monthly,1638752.0719878804,89012.54769985001,153045.8698249,64033.32212504999,1626024.0051720298,1452112.65997303,173911.34519899992,513493.40213526,397723.25915978,115770.14297547999,-589777.8830192597
2016-11-01,Monthly,1643004.4181548902,107560.08198520995,160082.98993108995,52522.907945880004,1637900.44956923,1466605.07253623,171295.377033,500409.49046125007,391822.9524247701,108586.53803647998,-602865.6038607997
2016-12-01,Monthly,1655224.991408,113193.16540247004,166425.06159201002,53231.89618953999,1648719.33114371,1480344.68432571,168374.64681800004,517820.76528517995,415756.1867587,102064.57852647996,-624508.2704233599
2017-01-01,Monthly,1670516.2235230699,119323.05739545003,178571.75998755003,59248.7025921,1655802.2594905603,1485360.0657385602,170442.193752,528394.07716024,417820.86321776,110573.21394248,-633003.1705231804
2017-02-01,Monthly,1675194.6709240996,130723.27124052,186249.12457972,55525.853339199995,1658503.4965432899,1485434.06682429,173069.42971899998,523201.31710411,418085.85430263,105115.46280148003,-637233.4139638203
