date,frequency,m3_total,transaction_balances,currency_in_circulation,demand_deposits,broad_quasi_money,savings_deposits,fixed_deposits,nids,repos,fx_deposits,other_deposits
2022-01-01,Monthly,2178879.6026096996,581849.9406737001,142850.6541787,438999.286495,1597029.6619359998,245785.02940899998,930354.383218,1835.6764209999997,2.5e-05,193960.323623,225094.24923999998
2022-02-01,Monthly,2197890.60032841,583384.1473104099,138861.98796340998,444522.1593469999,1614506.453018,243011.745846,930559.2465519999,2133.486692,3.3e-05,211520.03536100002,227281.93853399996
2022-03-01,Monthly,2203024.2355740797,588240.08325308,138803.90611408,449436.177139,1614784.152321,244994.575907,932562.697757,1575.994058,0.0,200179.912757,235470.97184199997
2022-04-01,Monthly,2214987.72994838,599639.6631343799,149421.36057938,450218.3025549999,1615348.0668140003,268866.93564700003,929635.8113050002,1298.7401619999998,0.0,204024.64109899997,211521.93860099994
2022-05-01,Monthly,2226588.3576493496,600122.9108233498,146758.60893835,453364.3018849999,1626465.446826,253215.85907,937398.4735769999,1200.6550559999998,0.0,217090.325778,217560.13334499998
2022-06-01,Monthly,2225258.6098316004,603256.6202186001,145860.9050056,457395.7152130001,1622001.989613,248130.32406800002,939281.867786,1317.432486,0.006509,215598.396792,217673.961972
2022-07-01,Monthly,2222146.50545537,598361.86365437,145106.26056137,453255.60309299995,1623784.6418009999,242890.446234,946826.1648830001,1185.380812,0.0,214970.228833,217912.421039
2022-08-01,Monthly,2241310.6033644597,598572.06967146,144735.70573146,453836.36393999995,1642738.5336929997,238998.758232,949648.523411,1018.676637,0.0,222173.672235,230898.903178
2022-09-01,Monthly,2254815.67722914,592929.2603921401,144585.68294014002,448343.5774520001,1661886.416837,237316.34134400001,953627.4906200002,1285.457145,0.0,238144.493967,231512.63376099998
2022-10-01,Monthly,2257146.3350251997,593568.1679342,144902.5802362,448665.587698,1663578.167091,233612.842849,955477.0005240003,917.144559,0.001975,243886.59885199997,229684.57833199998
2022-11-01,Monthly,2257943.9410708896,599108.0564438899,145287.37711889,453820.6793249999,1658835.8846269997,231923.15921599997,961964.5715099999,1165.214708,0.0,231676.99980899997,232105.939384
2022-12-01,Monthly,2265666.77939464,598685.18159664,146269.10421664,452416.0773800001,1666981.597798,229455.566603,980482.3822580001,1234.7296880000001,0.0,234632.963973,221175.95527600002
2023-01-01,Monthly,2275666.86849354,596971.25373054,150461.88962454,446509.36410600005,1678695.614763,230592.840347,981890.8690139999,1422.4173280000002,0.0,240449.997817,224339.49025700003
2023-02-01,Monthly,2291458.69199849,594501.71587549,146093.54204749,448408.17382799997,1696956.976123,229444.45107,986689.931984,1265.8294349999999,0.12298300000000001,260661.69259299999,218894.948058
2023-03-01,Monthly,2292066.47469126,593466.69344126,145961.98660126003,447504.70684,1698599.7812500002,230935.436672,1001892.5463260002,1126.5885609999998,0.0,243793.23703400005,220851.97265700003
2023-04-01,Monthly,2287421.06043557,591733.69473757,149233.09683557,442500.597902,1695687.365698,227653.143831,1006604.041404,813.600238,0.0,236841.81757800002,223774.76264700003
2023-05-01,Monthly,2297944.7377014,590861.2674584,146489.81406039998,444371.453398,1707083.470243,226586.974463,1016228.514529,848.0467649999999,0.0,242869.76032800003,220550.174158
2023-06-01,Monthly,2306319.13712543,599440.38373943,147553.35353043,451887.030209,1706878.7533860002,228275.093691,1014480.263725,855.051537,0.0,244695.576382,218572.768051
2023-07-01,Monthly,2300102.8175145197,590632.84048852,146213.07308151998,444419.767407,1709469.9770259997,224457.82973499998,1023219.112244,718.075613,0.0,243048.603981,218026.355453
2023-08-01,Monthly,2305718.42716211,597742.92132911,146400.21546411,451342.7058650001,1707975.505833,223861.54004,1016928.3417989999,796.7289979999999,0.0,252358.436181,214030.45881499996
2023-09-01,Monthly,2319716.33633241,604232.04169341,146714.65789741,457517.383796,1715484.294639,224337.68854,1014990.148457,724.2794210000001,0.01911,256544.80714399996,218887.351967
2023-10-01,Monthly,2339704.34330855,611342.16205455,146422.07974755,464920.082307,1728362.181254,224579.705845,1015280.9785140001,723.3730120000001,0.0,264213.900369,223564.22351399998
