date,frequency,equities_and_liabilities,total_equities,deposits_under_the_new_investment_fund,special_account,domestic_banks_deposits_others,residents_bank_negara_malaysia,residents_commercial_banks,residents_islamic_banks,residents_investment_banks,residents_other_banking_institutions,non_residents,investment_account_of_customers,investment_account_due_to_designated_financial_institutions,acceptances_payable,residents,bills_payable_non_residents,other_liabilities,bank_domestic_banks_total_equities_and_liabilities,bank_foreign_banks_total_equities,total_deposits_under_the_new_investment_fund,total_deposits_special_account,foreign_banks_deposits_others,amount_due_to_designated_financial_institutions_residents_bank_negara_malaysia,amount_due_to_designated_financial_institutions_residents_commercial_banks,amount_due_to_designated_financial_institutions_residents_islamic_banks,amount_due_to_designated_financial_institutions_residents_investment_banks,amount_due_to_designated_financial_institutions_residents_other_banking_institutions,amount_due_to_designated_financial_institutions_non_residents,total_investment_account_investment_account_of_customers,total_investment_account_investment_account_due_to_designated_financial_institutions,total_investment_account_acceptances_payable,bills_payable_residents,total_liabilities_bills_payable_non_residents,bills_payable_other_liabilities,bank_foreign_banks_total_equities_and_liabilities,rm_million_total_equities_and_liabilities
2015-04-01,Monthly,Bank Perdagangan/Commercial Banks,145671.267621,11276.079748,0.768008,917836.372658,645.629682,26746.875127,2352.285785,995.359137,2157.255983,40077.236992,,,6546.097342,2958.269972,0.044375,126663.91654300001,1283927.458973,38284.616266,3812.099668,0.0,292009.794743,170.720244,3615.082333,10.759079,102.241157,28.462822,38098.541754,,,394.904606,1684.480658,24.623174,36598.79115700003,414835.117661,1698762.576634
2015-05-01,Monthly,Bank Perdagangan/Commercial Banks,147092.078832,11164.182363,0.876639,915244.187865,779.564823,25924.994987,4085.460697,1423.535647,450.987258,48059.083536,,,6806.482273,2966.529494,0.323362,128961.45799099996,1292959.745767,39427.937677,3668.629496,0.0,291198.482792,131.149123,3989.90746,5.178988,1.891104,24.483584,39616.951341,,,400.47352,1779.096107,34.422956,41522.63849300001,421801.242641,1714760.988408
2015-06-01,Monthly,Bank Perdagangan/Commercial Banks,149183.795056,11459.242614,0.682416,923162.7048109999,803.542546,27035.597512,3300.832432,927.266745,387.478618,46641.498475,,,4737.816991,2685.616852,0.197403,133528.23378800007,1303854.506259,39769.258516,3670.34058,0.0,293240.224312,254.929384,6324.432501,6.004826,11.10945,27.416,39643.196347,,,520.035478,1563.018244,23.736616,46170.702942,431224.405196,1735078.9114549998
2015-07-01,Monthly,Bank Perdagangan/Commercial Banks,149305.354102,11303.587236,0.691025,912909.460302,603.918352,28308.487146,2971.543995,858.797886,479.889333,47595.139669,0.0,0.0,3597.205894,2363.684199,0.077172,138276.6020659997,1298574.438377,39784.982683,3613.881799,0.0,297175.21031299996,258.755714,5459.520442,7.430766,12.791715,22.756,37049.809651,0.0,0.0,329.54305,1506.668818,30.341484,37699.17447000005,422950.866905,1721525.305282
2015-08-01,Monthly,Bank Perdagangan/Commercial Banks,149358.011943,11177.939962999999,0.670202,911998.332451,402.40346,30390.082203,3156.708568,668.385,468.757698,61239.084902,0.0,0.0,1956.606805,2247.652433,0.069531,158435.60846400008,1331500.313623,40026.09547,3542.583842,0.0,305435.641391,240.352571,6774.99408,676.590623,45.394123,38.786,46187.542165,0.0,0.0,248.505023,1505.722217,17.630195,52693.377813999985,457433.215514,1788933.529137
2015-09-01,Monthly,Bank Perdagangan/Commercial Banks,150162.564467,11305.109057999998,0.451748,924777.1562109999,331.230601,25352.064059,3325.807732,800.051583,335.474291,57470.28748,0.0,0.0,1572.443093,2491.384835,0.133764,163653.9727840002,1341578.131706,39807.146582,3463.3617569999997,0.0,312205.59911,440.601277,5811.362879,728.333717,64.451752,119.128803,43047.133199,0.0,0.0,511.099922,1443.55403,25.814746,56395.75727900003,464063.345053,1805641.4767590002
2015-10-01,Monthly,Bank Perdagangan/Commercial Banks,151647.643877,11540.511489999999,0.391748,920769.450173,227.651854,23998.820436,3407.813232,1174.085468,260.992577,53363.150734,0.0,0.0,1004.671899,2554.982649,0.297106,160563.08897599997,1330513.552219,40303.837767,3467.170533,0.0,306965.265415,244.848879,5112.258706,724.040052,56.383375,110.773694,36840.840973,0.0,0.0,487.625978,1475.211185,25.855463,48293.38636399997,444107.498384,1774621.050603
2015-11-01,Monthly,Bank Perdagangan/Commercial Banks,151878.120219,11234.682219999999,0.257516,930593.1617050001,109.942841,18694.913303,4396.943005,719.771839,1168.210875,50958.078086,0.0,0.0,914.534045,2326.23666,0.469921,160379.36772300003,1333374.689958,40586.129759,3363.239208,0.0,306976.073287,206.309026,3955.395436,726.871042,46.472195,91.012363,34667.275722,0.0,0.0,234.306603,1533.079878,28.556781,46299.095921999935,438713.817222,1772088.5071800002
2015-12-01,Monthly,Bank Perdagangan/Commercial Banks,157810.393244,11257.87529,0.380242,933853.19288,1.983582,13238.3295,3816.452303,498.975006,742.322827,50211.342541,0.0,0.0,506.653902,2424.301104,0.340558,155870.47197699995,1330233.014956,40898.120966,3158.218683,0.0,309387.721341,184.707794,4766.861192,5.149696,107.478761,102.862599,37511.316649,0.0,0.0,218.286341,1485.985742,26.706531,44524.36836,442377.784655,1772610.799611
2016-01-01,Monthly,Bank Perdagangan/Commercial Banks,161918.337833,10981.378547,0.253331,932570.667302,42.068226,17619.091315,4598.453664,788.419761,783.274407,51176.987566,0.0,0.0,654.293284,2440.569384,0.903747,159719.92897100025,1343294.627338,41373.370021,3430.133207,0.0,305520.96296800004,104.031404,5122.236172,0.050782,118.944294,139.480756,36399.047289,0.0,0.0,248.963241,1573.043389,32.306817,46276.19465699999,440338.764997,1783633.392335
2016-02-01,Monthly,Bank Perdagangan/Commercial Banks,162194.814965,11188.382137,0.13831,935012.8518350001,2734.49802,18062.884566,4181.151368,912.946155,501.205615,57838.856387,0.0,0.0,1594.071986,2441.520479,0.353441,160436.30755499983,1357099.982819,41625.213277,3355.687117,0.0,314618.540899,694.574789,5255.541193,0.050705,108.869268,110.582279,33201.259052,0.0,0.0,349.009565,1470.776489,20.806391,45210.77828699999,446021.689311,1803121.67213
2016-03-01,Monthly,Bank Perdagangan/Commercial Banks,161487.067436,10817.265675,0.116977,938605.994504,566.602925,21004.120366,3760.975915,580.933881,468.753103,55682.428689,0.0,0.0,1577.316018,2112.759645,0.721385,154925.31158000018,1351590.368099,42327.26193,3326.372178,0.0,304510.30919400003,62.612358,4385.97612,0.339439,85.341521,104.288134,29443.000537,0.0,0.0,295.768711,1431.831856,21.285462,41249.30715600002,427243.694596,1778834.062695
2016-04-01,Monthly,Bank Perdagangan/Commercial Banks,164316.865572,10404.752265000001,0.390473,931074.400774,0.0,18697.104577,4534.071269,1043.117963,366.220392,51947.238142,0.0,0.0,1499.128035,2197.39317,0.345212,150901.75861200018,1336982.786456,41756.849178,3150.9836050000004,0.0,305223.054007,52.224833,6323.340975,0.998875,64.209233,97.980232,30969.708951,0.0,0.0,219.772875,1373.67181,30.043752,37969.46886699996,427232.307193,1764215.093649
2016-05-01,Monthly,Bank Perdagangan/Commercial Banks,166199.639464,10602.481612,0.148505,929893.6893689999,1653.175,19294.470478,3205.471928,877.584408,272.969392,50882.281009,0.0,0.0,1214.873278,2147.927827,0.117378,150811.7327270002,1337056.562375,42202.13288,3205.285272,0.0,311268.071442,54.336412,4909.461116,877.476632,34.288773,131.407337,30478.640347,0.0,0.0,236.433922,1331.854953,23.578716,37746.471359000025,432499.439161,1769556.001536
2016-06-01,Monthly,Bank Perdagangan/Commercial Banks,168710.70008,10596.21111,0.121168,938178.716238,3183.761581,24808.919046,2978.170478,855.05575,305.144173,48859.445687,0.0,0.0,473.893549,2187.752428,0.090622,152744.0634289999,1353882.045339,42158.857067,3396.591843,0.0,309613.684797,455.361937,5810.761216,944.104783,60.816706,134.700116,36900.683673,0.0,0.0,243.1344,1409.600288,26.347574,39539.957183999984,440694.601584,1794576.646923
2016-07-01,Monthly,Bank Perdagangan/Commercial Banks,169598.854102,10760.340203,0.297055,918464.8473510001,1387.095,22935.42464,4012.295375,490.60817,408.059659,55708.973815,0.0,0.0,379.784125,2112.858052,0.209023,155468.979337,1341728.625907,42601.135137,3494.53165,0.0,309260.898939,54.508917,3833.455205,852.488504,34.668089,150.424705,32072.898588,0.0,0.0,246.257331,1437.862536,29.576509,50732.29713300002,444801.003243,1786529.62915
2016-08-01,Monthly,Bank Perdagangan/Commercial Banks,170149.487464,10660.003451,0.14318,925233.2239260001,1620.2,19494.617972,4863.337582,538.271652,419.389258,52571.320902,0.0,0.0,1433.625645,1899.831899,0.118513,148942.88854699992,1337826.459991,43088.986531,3378.915427,0.0,307026.23392599996,52.544369,3848.985747,913.363609,7.681327,192.30778,30071.959636,0.0,0.0,292.225677,1604.375646,20.430373,35546.02177000002,426044.031818,1763870.4918089998
2016-09-01,Monthly,Bank Perdagangan/Commercial Banks,170371.731003,11082.449013,0.127942,927963.7004209999,1242.25,16640.567489,3906.331423,434.540453,538.268311,55661.352833,0.0,0.0,1443.618009,2055.927381,0.198973,153561.1897360002,1344902.252987,43413.465291,3459.440105,0.0,311431.92392900004,53.770007,5503.430481,754.71055,17.938171,189.997589,29408.8779,0.0,0.0,212.645021,1455.217662,23.68493,35043.696923,430968.798559,1775871.051546
2016-10-01,Monthly,Bank Perdagangan/Commercial Banks,171275.478363,11339.443747000001,0.263004,934004.3778090001,4.195,18070.975905,4202.681423,1044.301275,959.221962,50190.946402,0.0,0.0,923.340578,2069.611671,0.128112,153649.50632499976,1347734.471576,43918.215489,3474.783105,0.0,313331.02739,53.768582,4420.428226,923.415483,62.990526,135.056854,27242.350938,0.0,0.0,184.412357,1331.555776,23.082659,35083.63530599996,430184.722691,1777919.194267
2016-11-01,Monthly,Bank Perdagangan/Commercial Banks,170424.561671,11684.647906,0.472775,931089.534764,73.432003,24261.810692,4769.77853,394.045474,1092.332001,53774.716163,0.0,0.0,463.374488,2337.398855,0.263963,166962.51710699996,1367328.886392,43738.327048,3626.3012989999997,0.0,320542.173787,72.989439,5087.928587,1004.750593,58.161394,88.042512,33949.783969,0.0,0.0,200.606194,1402.610794,29.726586,46139.98451200003,455941.386714,1823270.273106
2016-12-01,Monthly,Bank Perdagangan/Commercial Banks,173137.563234,11807.821567,0.573406,932614.703898,133.99832,20837.074783,4794.028219,704.428064,896.040102,54378.746074,0.0,0.0,312.90419,2045.666497,0.24163,162256.56252300032,1363920.352507,44165.224802,3582.668914,0.0,322548.56114400004,145.957288,5967.816549,764.848042,0.122866,133.750949,33088.481106,0.0,0.0,190.824931,1387.60944,32.997038,42161.082950999975,454169.94602,1818090.298527
2017-01-01,Monthly,Bank Perdagangan/Commercial Banks,176328.018114,11492.884718000001,0.451592,935263.1373970001,50.813716,19943.605524,6216.070801,1338.5798,763.975171,59633.714886,0.0,0.0,346.831719,1888.083267,0.254431,156785.9103319999,1370052.331468,45945.178266,3516.315971,0.0,326768.39466499997,146.209646,6028.231378,993.417612,0.072643,189.680798,33327.409324,0.0,0.0,172.123586,1327.916916,21.943452,41587.368300999995,460024.262558,1830076.594026
2017-02-01,Monthly,Bank Perdagangan/Commercial Banks,176359.51233,11817.723731,0.71918,931744.409586,4.4862,23587.451718,8264.128132,683.157341,1019.163643,59787.045464,0.0,0.0,360.211339,2126.560056,0.118604,158072.70625000002,1373827.393574,46252.753847,3612.248165,0.0,324501.86597600003,116.812775,4897.128344,892.490055,0.07866,80.623901,34657.710355,0.0,0.0,215.526129,1315.891066,24.644018,41362.31437699999,457930.087668,1831757.4812420001
2017-03-01,Monthly,Bank Perdagangan/Commercial Banks,170735.339154,12213.787871999999,0.223328,940229.6268699999,181.475801,21058.522432,5073.83674,1183.355607,1215.348246,70078.324003,0.0,0.0,310.249737,2266.074327,0.344192,177341.1969770002,1401887.705286,46711.048217,3581.632764,0.0,327144.84116,233.626278,4468.397087,1067.767763,0.081062,81.486943,39963.33001,0.0,0.0,234.765578,1252.750961,28.659158,39666.11808100006,464434.505062,1866322.2103479998
2017-04-01,Monthly,Bank Perdagangan/Commercial Banks,170459.546164,12261.624798,0.645756,930537.1301450001,5143.39213,21339.951552,5585.311699,383.977412,988.831005,72216.211775,0.0,0.0,243.500105,2638.266476,0.411987,181664.79224599985,1403463.59325,47248.387098,3472.719413,0.0,325500.01630200003,55.330222,4305.627161,929.679919,0.057959,78.774636,36178.669292,0.0,0.0,235.565731,1260.58377,20.221777,39914.569241000005,459200.202521,1862663.795771
2017-05-01,Monthly,Bank Perdagangan/Commercial Banks,171819.605475,12518.175443,0.698734,936394.541749,1947.4,19419.115291,4664.032903,1000.240795,1898.179139,68410.005952,0.0,0.0,307.391764,2252.721726,0.265286,176963.5873409999,1397595.961598,46621.020652,3215.518258,0.0,329070.037511,55.797826,4170.255443,1033.641293,0.169569,78.932305,37083.506143,0.0,0.0,276.640597,1147.258779,24.776232,36251.57935300002,459029.133961,1856625.095559
2017-06-01,Monthly,Bank Perdagangan/Commercial Banks,174486.825609,12183.849031999998,1.248705,934794.4485729999,438.820753,19471.093839,5336.848413,632.475223,858.070923,69772.028595,0.0,0.0,363.320941,1993.80648,0.145958,177811.0095680004,1398143.992612,46271.056583,3122.671085,0.0,323325.195223,55.287979,3716.372496,900.027732,0.096589,63.536871,37682.214756,0.0,0.0,261.9464,1226.355206,19.398775,39863.07583000003,456507.235525,1854651.228137
2017-07-01,Monthly,Bank Perdagangan/Commercial Banks,174801.255335,12197.097065000002,0.17157,932476.683054,1724.932033,17247.842009,7081.25206,726.791553,901.591204,72215.927115,0.0,0.0,310.40922,2134.661022,0.116749,183035.03612299977,1404853.766112,47540.166139,3059.844715,0.0,321859.770075,60.075273,3680.251816,1167.681634,0.092586,57.879464,35702.36617,0.0,0.0,191.03749,1129.882164,15.105277,39231.10883599998,453695.261639,1858549.027751
2017-08-01,Monthly,Bank Perdagangan/Commercial Banks,175059.370933,11949.65818,0.573818,939021.7856129999,747.850311,21790.143464,6922.450578,785.671763,649.349511,67124.448103,0.0,0.0,645.59072,2350.188915,0.435207,183400.743403,1410448.260519,48042.876945,3145.105314,0.0,324327.884406,56.58068,3307.202297,1234.406347,0.148264,87.884185,35834.588204,0.0,0.0,182.387744,1283.856585,37.50678,40657.343342999986,458197.771094,1868646.031613
2017-09-01,Monthly,Bank Perdagangan/Commercial Banks,175902.455881,12439.15878,0.23021,943415.349402,487.099682,16685.21386,5137.751936,614.975757,837.527068,57591.987593,0.0,0.0,792.471557,2152.217744,0.626949,179624.20297200017,1395681.269391,48167.180548,3169.228379,0.0,327152.986236,46.67404,3279.081944,1103.730341,0.145462,49.60018,30180.128189,0.0,0.0,183.012718,1126.932919,1.510028,38259.73263100003,452719.943615,1848401.213006
2017-10-01,Monthly,Bank Perdagangan/Commercial Banks,179072.959547,12187.340063000001,0.349503,949064.800149,260.434279,15941.435497,4875.379588,424.056497,747.635309,60752.961172,0.0,0.0,534.11693,2471.885257,0.105198,176701.10562999992,1403034.564619,48699.818432,3271.053309,0.0,325287.874001,46.378592,3589.965568,948.75912,0.091599,48.408754,25844.586534,0.0,0.0,112.094172,924.337101,17.728454,37894.893798000005,446685.989434,1849720.5540530002
2017-11-01,Monthly,Bank Perdagangan/Commercial Banks,179572.606934,11900.283147,0.075935,948342.459791,1057.234665,14905.061209,5406.243104,650.46481,705.225027,59428.709524,0.0,0.0,276.516287,2306.174371,0.101175,176008.79662899987,1400559.952608,48923.922736,3176.446811,0.0,326214.014286,44.872143,2900.003589,816.26124,0.194338,93.804657,21280.04579,0.0,0.0,127.976079,1207.696829,21.505619,42638.68789700005,447445.432014,1848005.3846220002
2017-12-01,Monthly,Bank Perdagangan/Commercial Banks,182676.940925,11041.98437,0.341035,944870.537505,1513.730251,18114.206928,7675.979341,922.704168,1072.013435,62533.952188,0.0,0.0,214.417006,2832.758658,0.062534,177410.7219039999,1410880.350248,49314.821924,3400.6817950000004,0.0,322410.668131,45.227382,2134.152692,1503.695002,0.197847,95.747904,21539.429368,0.0,0.0,123.279991,1237.159328,21.784318,39146.38510599999,440973.230788,1851853.5810359998
2018-01-01,Monthly,Bank Perdagangan/Commercial Banks,184692.533145,11043.664764000001,0.549762,947206.979927,5293.079845,19169.384986,7980.726393,1044.527637,893.201873,55717.665896,0.0,0.0,392.884695,2508.476385,1.586246,176758.38254399976,1412703.644098,49692.842157,3643.2162030000004,0.0,324887.85716300004,45.05157,2895.456674,1026.957454,0.116332,245.640606,20766.571717,0.0,0.0,83.512528,1195.874485,11.737206,44635.54871399997,449130.382809,1861834.0269069998
2018-02-01,Monthly,Bank Perdagangan/Commercial Banks,184830.820899,11027.885148999998,0.072823,950524.351642,3149.613273,22251.495216,5354.788482,788.647918,888.537803,56248.001282,0.0,0.0,423.121354,2468.816794,0.391301,176513.01686200022,1414469.560798,50100.671034,3545.6732469999997,0.0,323959.889546,45.215205,5047.973576,923.618314,40.242879,351.300085,22819.356101,0.0,0.0,185.467108,971.759439,14.559798,42208.17646999998,450213.902802,1864683.4636000001
2018-03-01,Monthly,Bank Perdagangan/Commercial Banks,184306.864327,11021.838543,0.337216,967101.115875,1588.376342,20227.735329,4836.518609,1236.59978,1188.086712,50385.979212,0.0,0.0,542.305813,2088.500708,0.12003,175058.86449499996,1419583.242991,50534.701974,3535.946398,0.0,328540.213215,44.929808,5795.083353,1012.33488,85.634151,209.177126,22557.243224,0.0,0.0,215.382449,1025.693027,15.230536,35994.66210799996,449566.232249,1869149.47524
2018-04-01,Monthly,Bank Perdagangan/Commercial Banks,183228.095688,10872.407592,0.132872,966240.187055,1499.282995,18127.09821,5060.399246,1502.560216,1351.841784,54342.778181,0.0,0.0,549.617934,2132.050109,0.262621,178131.27303699974,1423037.98754,50744.519835,3483.6242199999997,0.0,325516.617449,45.233917,4968.108837,1105.110063,1.28408,259.140135,24666.868147,0.0,0.0,376.735526,1029.053778,11.334246,35149.07565699999,447356.70589,1870394.69343
2018-05-01,Monthly,Bank Perdagangan/Commercial Banks,184435.260859,10849.442052,0.205704,958906.419646,1325.588089,17430.844303,5315.135812,982.453267,2782.28282,67436.98785,0.0,0.0,593.857732,2027.582491,0.364752,173863.9851869999,1425950.410564,50834.202893,3566.3818280000005,0.0,326826.879836,46.109638,3616.904656,901.991244,0.270943,106.898235,23005.179819,0.0,0.0,210.175023,919.518337,16.892118,35720.435119,445771.839689,1871722.250253
2018-06-01,Monthly,Bank Perdagangan/Commercial Banks,187651.873855,11252.895018,0.106976,962743.029736,104.26002,19723.543138,5338.542322,1457.299553,68.0,75904.703382,0.0,0.0,366.158137,2058.480144,0.269288,177530.30792600015,1444199.469495,50538.237757,3454.2586550000005,0.0,334284.214898,44.471257,3811.010508,834.581906,0.609619,86.893619,29462.133407,0.0,0.0,331.858168,1130.657307,15.273412,34656.14886799993,458650.349381,1902849.8188760001
2018-07-01,Monthly,Bank Perdagangan/Commercial Banks,189356.318506,10685.937918000001,0.306454,969006.528305,258.560829,20527.735965,4695.399203,1291.129335,1187.84,74962.513859,0.0,0.0,673.379898,1918.566642,0.226379,174308.14339499985,1448872.586688,50926.448038,3572.8672170000004,0.0,333720.78292100003,46.079747,3133.517571,372.824141,52.32354,37.780191,27140.499575,0.0,0.0,137.842938,946.133199,12.873149,35981.844928000006,456081.817155,1904954.403843
2018-08-01,Monthly,Bank Perdagangan/Commercial Banks,187787.513443,10580.688363,0.217327,971502.665851,0.0,23472.328313,7082.549243,1545.576847,224.52,73213.067877,0.0,0.0,1129.676131,1769.026764,0.103838,177685.069154,1455993.003151,51537.803371,3464.379895,0.0,334803.9766,331.44877,3031.454222,1406.905234,50.319321,34.298535,30887.878391,0.0,0.0,265.756544,1060.834369,8.954947,35572.411959,462456.422158,1918449.425309
2018-09-01,Monthly,Bank Perdagangan/Commercial Banks,187830.102651,10639.114296,0.242865,973401.5126639999,1696.150334,22636.114998,4686.049208,1253.236306,134.989286,71618.847521,0.0,0.0,994.753908,1808.200677,0.171374,174875.81861800016,1451575.304706,51854.289185,3677.5245680000003,0.0,339886.933302,292.269819,3981.425082,794.871453,110.030672,78.060506,34382.839582,0.0,0.0,305.401964,1092.910203,12.964655,35301.80288500004,471771.323876,1923346.628582
2018-10-01,Monthly,Bank Perdagangan/Commercial Banks,188675.375792,10015.688898999999,0.447922,989473.2022190001,124.843866,28186.617982,4248.374214,1986.557095,180.0,72359.872285,0.0,0.0,799.160568,1737.748522,0.08251,173744.93794499995,1471532.909819,52231.040015,3638.130738,0.0,345289.46849,516.790327,3257.929479,1267.170284,4.353991,22.300635,34484.101699,0.0,0.0,194.191523,882.996802,11.702708,37676.72306400006,479476.899755,1951009.809574
2018-11-01,Monthly,Bank Perdagangan/Commercial Banks,188839.835741,10090.79578,0.137637,999122.963221,238.133868,21444.310678,3303.167628,1419.351435,6.3,67577.91179,0.0,0.0,516.659146,1955.199784,0.338181,173161.77652999983,1467676.881419,52650.489827,3397.659505,0.0,343999.497059,169.21124,4612.35874,1386.493356,27.551139,59.958,33750.8264,0.0,0.0,185.596649,1192.784628,50.34898,35774.85580499996,477257.631328,1944934.512747
2018-12-01,Monthly,Bank Perdagangan/Commercial Banks,192661.169225,10310.539208999999,0.250571,1002878.94814,310.506652,19119.0349,3953.798132,979.515393,0.0,62934.037696,0.0,0.0,338.25129,1839.546715,0.097482,167522.36636499997,1462848.06177,52876.158284,3233.8413819999996,0.0,340703.587978,468.980755,5055.585998,1292.665265,7.747075,67.228,32055.621759,0.0,0.0,330.124722,848.610329,6.502292,32295.565702000007,469242.219541,1932090.281311
2019-01-01,Monthly,Bank Perdagangan/Commercial Banks,196223.804307,9908.131481,0.379309,994015.381121,82.046954,24059.17238,7086.268845,1535.371781,84.5,63650.563051,0.0,0.0,476.385293,1783.569623,0.085809,173858.56759299987,1472764.227547,53433.665626,3154.3813710000004,0.0,336719.72413399996,79.050368,6424.33006,1453.660397,401.837792,64.921233,33832.937062,0.0,0.0,360.80951,952.059377,20.772985,34552.50579600006,471450.655711,1944214.883258
2019-02-01,Monthly,Bank Perdagangan/Commercial Banks,196107.172671,10383.789885,0.481947,991784.621605,0.0,18274.064312,5270.337487,693.351689,558.0,61703.804499,0.0,0.0,297.059336,1598.127659,0.105603,175567.53088799992,1462238.447581,53844.185251,4148.539241,0.0,337386.49757099996,277.238858,6736.232637,1361.579368,150.990017,61.14621,28647.578406,0.0,0.0,253.430453,962.875435,10.633875,34306.76142700007,468147.688749,1930386.13633
2019-03-01,Monthly,Bank Perdagangan/Commercial Banks,196908.382055,10361.875945,0.226921,999794.10976,163.25,18753.919095,3887.42214,441.150274,518.0,56196.470697,0.0,0.0,220.562938,1917.210677,0.702393,176079.03192199997,1465242.314817,54481.300456,4079.57613,0.0,340326.122056,44.649472,6544.65584,1328.276454,0.936206,18.014,25575.441803,0.0,0.0,278.359907,910.172474,29.088001,34615.494792,468232.087591,1933474.402408
2019-04-01,Monthly,Bank Perdagangan/Commercial Banks,197398.520264,10633.146483999999,0.156624,994152.941118,0.0,21562.318981,4714.853353,1844.98068,969.0,59639.229475,0.0,0.0,118.446747,1654.867016,0.044224,173630.63990100005,1466319.144867,53957.032932,4926.504263000001,0.0,343454.69647,45.065645,4601.518156,965.503746,0.706392,17.686,27368.28568,0.0,0.0,326.490524,833.370737,17.086843,33393.04246400003,469906.989852,1936226.134719
2019-05-01,Monthly,Bank Perdagangan/Commercial Banks,199240.286036,10502.978626,0.169457,995044.846173,0.0,22223.931596,5060.510711,1725.439605,1081.004562,60431.498661,0.0,0.0,126.689164,2004.396623,0.029283,178267.72921599998,1475709.509713,54505.805766,3094.1467530000004,0.0,342773.44217700005,44.43931,6555.642726,1540.181502,20.024942,14.106999,26234.438886,0.0,0.0,192.922146,950.646067,23.311072,33947.71768299996,469896.826029,1945606.335742
2019-06-01,Monthly,Bank Perdagangan/Commercial Banks,201647.439753,10672.625117,0.261458,988168.437609,0.0,25578.746255,4803.74042,1606.774764,1342.541411,59806.433018,0.0,0.0,225.790378,1596.20799,0.045388,174950.56898100005,1470399.612542,54205.874616,2940.582689,0.0,339286.594161,44.237943,6410.509707,1643.295107,152.352696,14.002,30868.329158,0.0,0.0,180.646169,760.095719,12.698356,34846.37089500002,471365.589216,1941765.2017579998
2019-07-01,Monthly,Bank Perdagangan/Commercial Banks,202912.946334,10355.717604000001,0.311806,987643.835999,0.0,25934.815014,5191.283652,1750.616927,987.7,61739.793992,0.0,0.0,419.463934,1603.260351,0.067743,174434.29454900004,1472974.107905,54247.228347,2363.7165250000003,0.0,341690.233679,251.65025,5477.182315,1478.939149,1.442212,13.797001,29696.061663,0.0,0.0,519.769201,810.044093,18.750159,33299.406824999984,469868.221419,1942842.329324
2019-08-01,Monthly,Bank Perdagangan/Commercial Banks,202755.939927,10129.642207,0.230839,990858.8850039999,0.0,21699.325703,6140.329818,2409.589526,998.26,63814.187939,0.0,0.0,962.304363,1544.233529,0.133406,185122.40059800004,1486435.462859,54915.331554,2267.583747,0.0,344385.05632,44.305856,6213.450033,1409.274012,1.90524,14.018999,32474.712331,0.0,0.0,479.430186,991.898163,23.284314,35590.379814,478810.630569,1965246.093428
2019-09-01,Monthly,Bank Perdagangan/Commercial Banks,202298.07982,10524.402472,0.184496,989655.1222730001,2.434797,18262.771748,5387.790089,1932.630092,684.65,73780.67221,0.0,0.0,922.612025,1625.517065,0.090731,181808.93703899987,1486885.894857,54865.385385,2202.969174,0.0,342247.118966,43.773034,5857.120682,1391.050746,101.37586,14.994999,35260.800749,0.0,0.0,245.996739,1032.448263,27.78803,35273.985588999945,478564.808216,1965450.703073
2019-10-01,Monthly,Bank Perdagangan/Commercial Banks,202579.572937,10655.770767,0.772849,995902.6716250001,417.525,21671.633028,3538.874488,1621.289844,93.1,68191.316374,0.0,0.0,1195.900382,1503.599784,0.176502,176030.0518119998,1483402.255392,55152.551207,2182.231595,0.0,343678.59011,43.835526,5600.601346,1298.219253,3.572468,14.118,37592.005577,0.0,0.0,250.330405,686.682817,17.585645,34705.14931599999,481225.473265,1964627.728657
2019-11-01,Monthly,Bank Perdagangan/Commercial Banks,202929.086988,10900.597557,0.512265,999850.098256,0.0,22068.014763,3985.133049,1590.320105,441.0,69317.581797,0.0,0.0,760.249841,1643.224339,0.221839,173314.29710000003,1486800.337899,55600.078506,2169.403234,0.0,344981.91753,46.641598,8435.456535,1328.008983,8.891337,17.158999,34941.832361,0.0,0.0,178.008862,1135.229213,50.136899,33444.94742799997,482337.711485,1969138.0493839998
2019-12-01,Monthly,Bank Perdagangan/Commercial Banks,205702.333071,10828.967832999999,0.012653,1012816.09791,823.323782,17245.772629,5506.298641,867.672401,139.0,66186.420418,0.0,0.0,265.723861,1415.432969,0.683912,168537.00625600014,1490334.746336,55920.761075,2312.6022350000003,0.0,344583.364621,780.200493,4526.68596,1371.878955,242.084731,15.771,32728.99201,0.0,0.0,160.153406,1146.983492,28.963626,32711.482432,476529.924036,1966864.670372
2020-01-01,Monthly,Bank Perdagangan/Commercial Banks,209096.468821,10294.905197,0.166966,1004080.570853,0.0,23393.311517,4567.305184,2488.314524,165.0,60369.571037,0.0,0.0,734.54337,1346.34667,0.183349,177015.51281499982,1493552.200303,56553.483619,2289.632974,0.0,345933.600894,43.290839,6832.21634,1381.562841,569.153954,18.861,32335.994792,0.0,0.0,127.247857,969.674182,27.860346,37648.98952800001,484731.569166,1978283.769469
2020-02-01,Monthly,Bank Perdagangan/Commercial Banks,210208.919731,10429.838849,0.551666,1003454.2202909999,468.320475,26246.23808,4193.66269,2682.413847,252.61,77194.92471,0.0,0.0,989.689866,1434.636488,0.176486,185752.5011490004,1523308.704328,57262.236134,2374.232859,0.0,346685.374311,15.044277,7266.767599,1346.786265,453.908548,18.01,35093.473406,0.0,0.0,165.314304,689.532058,17.344187,38988.59144100001,490376.615389,2013685.319717
