date,frequency,equities_and_liabilities,total_equities,deposits_under_the_new_investment_fund,special_account,domestic_banks_deposits_others,residents_bank_negara_malaysia,residents_commercial_banks,residents_islamic_banks,residents_investment_banks,residents_other_banking_institutions,non_residents,investment_account_of_customers,investment_account_due_to_designated_financial_institutions,acceptances_payable,residents,bills_payable_non_residents,other_liabilities,bank_domestic_banks_total_equities_and_liabilities,bank_foreign_banks_total_equities,total_deposits_under_the_new_investment_fund,total_deposits_special_account,foreign_banks_deposits_others,amount_due_to_designated_financial_institutions_residents_bank_negara_malaysia,amount_due_to_designated_financial_institutions_residents_commercial_banks,amount_due_to_designated_financial_institutions_residents_islamic_banks,amount_due_to_designated_financial_institutions_residents_investment_banks,amount_due_to_designated_financial_institutions_residents_other_banking_institutions,amount_due_to_designated_financial_institutions_non_residents,total_investment_account_investment_account_of_customers,total_investment_account_investment_account_due_to_designated_financial_institutions,total_investment_account_acceptances_payable,bills_payable_residents,total_liabilities_bills_payable_non_residents,bills_payable_other_liabilities,bank_foreign_banks_total_equities_and_liabilities,rm_million_total_equities_and_liabilities
2014-06-01,Monthly,Bank Perdagangan/Commercial Banks,131364.529162,11256.561571999999,0.991672,882768.706974,9097.653968,18542.533205,4824.544742,1476.811043,1132.25908,27920.700973,,,4265.545329,3622.366715,0.432634,106968.12099000017,1203241.758059,35725.671682,3927.432895,0.0,273901.15271600004,1269.920243,6208.898257,0.051596,58.862619,194.342668,41861.508582,,,3250.59287,2215.211621,5.7534,28232.250423999965,396851.649573,1600093.4076319998
2014-07-01,Monthly,Bank Perdagangan/Commercial Banks,132545.462783,11055.150394,0.530156,885664.031142,9440.404185,21534.453163,4854.156691,2129.527684,1071.443656,22588.697613,,,3831.187549,2540.831917,0.158712,114828.83968499984,1212084.87533,36280.697881,3869.5188369999996,0.0,278822.012695,1469.672176,5811.9863,6.11485,142.519743,193.741426,38472.461011,,,2931.803208,1793.164994,6.023199,25475.823520000005,395275.53984,1607360.41517
2014-08-01,Monthly,Bank Perdagangan/Commercial Banks,137945.790108,11108.374594,0.762056,876968.625095,8802.082878,25067.052884,5419.506168,2060.512515,885.97873,24354.489675,,,4717.430644,3147.963286,0.137701,110409.35225100005,1210888.058585,36594.501711,3975.160162,0.0,275418.109,1144.16057,5704.88776,0.076569,201.797991,264.625598,37301.443831,,,2405.101782,1695.977615,5.77169,25538.388662000012,390250.002941,1601138.061526
2014-09-01,Monthly,Bank Perdagangan/Commercial Banks,138814.204015,11085.290766999999,0.622427,884620.0305389999,8568.322553,29171.101314,3873.320765,2252.560414,745.000684,34984.339338,,,5106.934265,4350.060212,0.309202,110087.38355999993,1233659.480055,37041.25094,3988.233202,0.0,278188.96867900004,1150.356216,7265.591769,0.079123,345.362702,246.49344,39807.891931,,,2632.720481,2200.579309,4.17738,34833.33550799995,407705.04068,1641364.5207349998
2014-10-01,Monthly,Bank Perdagangan/Commercial Banks,139910.791572,10916.660892,0.540397,894114.457886,6465.277546,24818.821306,4085.529824,1690.880897,821.853907,38843.574564,,,4908.468986,2539.552296,0.084765,110690.60286700014,1239807.097705,37338.69975,3879.3083180000003,0.0,277207.815878,1120.471412,7127.633377,0.106756,309.10043,58.963644,37530.632091,,,2611.993628,1665.289867,7.953841,29010.922424000062,397868.891416,1637675.989121
2014-11-01,Monthly,Bank Perdagangan/Commercial Banks,140563.682652,10889.278269,0.825787,900725.33272,3952.507643,26995.118305,2147.208333,1037.391639,497.48025,45494.620659,,,3725.327238,2669.712904,0.091552,119665.94580400038,1258364.523755,37872.99895,3903.397486,0.0,278800.600572,852.160602,6148.057028,0.108935,302.831586,56.997043,40693.154584,,,2502.223995,1914.894502,7.595233,30840.059899000003,403895.080415,1662259.60417
2014-12-01,Monthly,Bank Perdagangan/Commercial Banks,142096.654022,10942.452266999999,1.095818,915360.1511339999,661.2095,27323.577627,2676.498986,1526.369882,1806.247883,46884.378228,,,1282.246605,2500.289025,1.434395,123692.05819400022,1276754.663566,37906.471525,3727.591981,0.0,287538.03748,288.364837,6200.571241,6.510148,284.630166,55.933086,38875.436806,,,1671.263965,1713.213864,8.086936,36187.13152000002,414463.243555,1691217.907121
2015-01-01,Monthly,Bank Perdagangan/Commercial Banks,145179.634264,10886.471873,0.731302,915261.358215,1303.050618,26517.967967,1217.725239,1567.37,1804.451205,47847.518118,,,2344.60467,2598.901793,0.207817,131391.62017100005,1287921.613252,38380.486753,3762.251896,0.0,284633.97131,213.942629,9648.4755,8.70387,55.42836,71.66253,40104.200468,,,2323.35673,1609.027946,24.653891,41103.01991000002,421939.181793,1709860.795045
2015-02-01,Monthly,Bank Perdagangan/Commercial Banks,145575.172142,10706.10427,0.622306,909220.1040480001,830.126349,27898.736939,2047.402027,1525.306094,1467.001436,42800.139598,,,3810.262797,2272.339296,0.110011,128768.68940300003,1276922.116716,38752.342698,3612.3273280000003,0.0,289234.272641,184.843363,6861.695918,7.042989,128.416415,41.414695,37421.690892,,,1470.699062,1447.390319,29.222719,38170.376105999996,417361.735145,1694283.851861
2015-03-01,Monthly,Bank Perdagangan/Commercial Banks,146519.668989,11065.741263,0.691787,923215.316686,644.787376,27569.469168,2779.677082,1163.952182,665.960535,44631.48092,,,4892.167621,3274.29223,0.031718,129730.38739500009,1296153.624952,38681.754763,3745.112242,0.0,294933.687818,212.456107,5532.31197,7.443507,29.604479,37.937102,34519.219495,,,847.211734,1711.372953,31.135923,44300.613483000016,424589.861576,1720743.486528
