date,frequency,industry,total_loan_financing,stage_1_ecl,stage_2_ecl_not_impaired,stage_3_ecl_impaired,total_provisions,gross_impaired_ratio,net_impaired_ratio
2022-02-01,Monthly,Bank-bank Islam / Islamic Banks,723837.9582764402,648852.7648788601,65163.81624661002,9821.377150970005,12676.702039,1.3568474875725065,0.8299119860445627
2022-02-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,7600.617795679996,6973.839814219996,362.9069661199999,263.87101534,171.657659,3.4717048328621103,1.9477995650202018
2022-02-01,Monthly,Jumlah / Total,1928880.864089669,1689513.4459717688,206742.0470491101,32625.37106878999,35250.63085,1.6914145231145452,1.0831198677572467
2022-03-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1202205.7545447191,1036821.312495959,142880.31267181007,22504.129376949975,22235.030372,1.871903315374862,1.2143987728457892
2022-03-01,Monthly,Bank-bank Islam / Islamic Banks,730751.2645427895,654900.1247812395,65590.14225283,10260.997508720005,12098.744897,1.4041710232468803,0.8629229092306753
2022-03-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,7463.249843280004,6837.583231130005,305.66535995,320.00125220000007,177.242283,4.287693148690887,2.644131173591709
2022-03-01,Monthly,Jumlah / Total,1940420.2689307886,1698559.0205083285,208776.12028459008,33085.128137869986,34511.017552,1.7050496053672215,1.0873705629607349
2022-04-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1205400.5010023897,1043586.6489665397,139074.3528509601,22739.499184890003,22401.93882,1.8864683701375797,1.2093808667762103
2022-04-01,Monthly,Bank-bank Islam / Islamic Banks,735542.50172344,661789.0952789601,63283.77344280999,10469.633001670003,12141.656414000001,1.4233892639974906,0.8500786700852833
2022-04-01,Monthly,Bank-bank Pelaburan / Investment/Merchant Banks,7394.240504879998,6781.373464139998,292.27308228000004,320.59395845999995,180.111856,4.335725329037061,2.6351206755067413
2022-04-01,Monthly,Jumlah / Total,1948337.24323071,1712157.11770964,202650.3993760501,33529.72614502,34723.707089999996,1.720940574405969,1.0789905105328945
2022-05-01,Monthly,Bank-bank Perdagangan / Commercial Banks,1207011.2840549776,1046838.6977534177,136873.88523711998,23298.701064440018,22377.218660000002,1.9302803024481747,1.258830007122622
