date,frequency,industry,bank,total_financing,stage_1_ecl,stage_2_ecl_not_impaired,stage_3_ecl_impaired,total_provisions,gross_impaired_ratio,net_impaired_ratio
2009-02-01,Monthly,Skim Perbankan Islam (SPI)1 / Islamic banking scheme (IBS)1,,633.732,,,,,,2.0086620065920417
2009-02-01,Monthly,Jumlah / Total,,110037.113,,,,,,2.3502745778136562
2009-03-01,Monthly,Bank-Bank Islam / Islamic banks,,110488.294,,,,,,2.587332230312886
2009-03-01,Monthly,Skim Perbankan Islam (SPI)1 / Islamic banking scheme (IBS)1,,647.175,,,,,,2.178905340157743
2009-03-01,Monthly,Jumlah / Total,,110281.573,,,,,,2.5414792679253844
2009-04-01,Monthly,Skim Perbankan Islam (SPI)1 / Islamic banking scheme (IBS)1,,652.75,,,,,,2.165358284523289
2009-04-01,Monthly,Bank-Bank Islam / Islamic banks,,112484.447,,,,,,2.0734014337483364
2009-04-01,Monthly,Jumlah / Total,,111135.469,,,,,,2.584919113350408
2009-05-01,Monthly,Skim Perbankan Islam (SPI)1 / Islamic banking scheme (IBS)1,,660.327,,,,,,2.0480974329028157
2009-05-01,Monthly,Bank-Bank Islam / Islamic banks,,114706.856,,,,,,2.366766454247911
2009-05-01,Monthly,Jumlah / Total,,113137.197,,,,,,2.073942265791287
2009-06-01,Monthly,Skim Perbankan Islam (SPI)1 / Islamic banking scheme (IBS)1,,665.732,,,,,,2.2458677092451733
2009-06-01,Monthly,Bank-Bank Islam / Islamic banks,,119477.582,,,,,,2.410332676191478
2009-06-01,Monthly,Jumlah / Total,,115367.183,,,,,,2.3649131226897553
2009-07-01,Monthly,Jumlah / Total,,120143.314,,,,,,2.409406407627255
2009-07-01,Monthly,Bank-Bank Islam / Islamic banks,,121825.986,,,,,,2.3845388441503292
2009-07-01,Monthly,Skim Perbankan Islam (SPI)1 / Islamic banking scheme (IBS)1,,668.127,,,,,,2.2979254462913064
2009-08-01,Monthly,Bank-Bank Islam / Islamic banks,,122817.826,,,,,,2.6432625940086982
2009-08-01,Monthly,Skim Perbankan Islam (SPI)1 / Islamic banking scheme (IBS)1,,668.296,,,,,,2.4747448879676304
2009-08-01,Monthly,Jumlah / Total,,122494.113,,,,,,2.3840588298129304
2009-09-01,Monthly,Jumlah / Total,,123486.122,,,,,,2.6423370428705586
2009-09-01,Monthly,Bank-Bank Islam / Islamic banks,,125356.678,,,,,,2.6997647573097985
2009-09-01,Monthly,Skim Perbankan Islam (SPI)1 / Islamic banking scheme (IBS)1,,667.699,,,,,,2.507121389515867
2009-10-01,Monthly,Bank-Bank Islam / Islamic banks,,130547.114,,,,,,2.559665839454499
2009-10-01,Monthly,Skim Perbankan Islam (SPI)1 / Islamic banking scheme (IBS)1,,669.602,,,,,,2.6139750889572677
2009-10-01,Monthly,Jumlah / Total,,126024.377,,,,,,2.698728506440039
2009-11-01,Monthly,Skim Perbankan Islam (SPI)1 / Islamic banking scheme (IBS)1,,674.372,,,,,,2.2255642691048005
2009-11-01,Monthly,Bank-Bank Islam / Islamic banks,,134299.164,,,,,,2.240004495486927
2009-11-01,Monthly,Jumlah / Total,,131216.71600000001,,,,,,2.559947059767744
2009-12-01,Monthly,Jumlah / Total,,134973.536,,,,,,2.239931384724746
2010-01-01,Monthly,,,,,,,,,2.397364597846425
2010-02-01,Monthly,,,,,,,,,2.3564756210126383
2010-03-01,Monthly,,,,,,,,,2.230942082188714
2010-04-01,Monthly,,,,,,,,,2.392702950950041
2010-05-01,Monthly,,,,,,,,,2.8288865322302397
2010-06-01,Monthly,,,,,,,,,2.2722051563012147
2010-07-01,Monthly,,,,,,,,,2.0125735090373444
2010-08-01,Monthly,,,,,,,,,1.9578585759808191
2010-09-01,Monthly,,,,,,,,,2.1661016562517648
2010-10-01,Monthly,,,,,,,,,2.098808025271923
2010-11-01,Monthly,,,,,,,,,2.1914981703120504
2010-12-01,Monthly,,,,,,,,,2.1167159344214155
2011-01-01,Monthly,,,,,,,,,2.2015810405914777
2011-02-01,Monthly,,,,,,,,,2.222610274590084
2011-03-01,Monthly,,,,,,,,,2.0780895119141887
2011-04-01,Monthly,,,,,,,,,1.9908366136157036
2011-05-01,Monthly,,,,,,,,,2.0823356082514026
2011-06-01,Monthly,,,,,,,,,1.9127297275316635
2011-07-01,Monthly,,,,,,,,,1.879200429353544
2011-08-01,Monthly,,,,,,,,,1.8082113387871184
2011-09-01,Monthly,,,,,,,,,1.8176293884070258
2011-10-01,Monthly,,,,,,,,,1.7543330371131343
2011-11-01,Monthly,,,,,,,,,1.7489634710825182
2011-12-01,Monthly,,,,,,,,,1.5996686779771248
2012-01-01,Monthly,,,,,,,,,1.5926416099931358
2012-02-01,Monthly,,,,,,,,,1.552393432705572
2012-03-01,Monthly,,,,,,,,,1.4558939440796237
2012-04-01,Monthly,,,,,,,,,1.4858212476181405
2012-05-01,Monthly,,,,,,,,,1.3887795462384394
2012-06-01,Monthly,,,,,,,,,1.3157476379366844
2012-07-01,Monthly,,,,,,,,,1.2920919568976574
2012-08-01,Monthly,,,,,,,,,1.2865287395764793
2012-09-01,Monthly,,,,,,,,,1.2632079375617475
2012-10-01,Monthly,,,,,,,,,1.1913762371343213
2012-11-01,Monthly,,,,,,,,,1.2198246547363378
2012-12-01,Monthly,,,,,,,,,1.153678281207877
2013-01-01,Monthly,,,,,,,,,1.1775865859426873
2013-02-01,Monthly,,,,,,,,,1.1744108273009268
2013-03-01,Monthly,,,,,,,,,1.1145417904297659
2013-04-01,Monthly,,,,,,,,,1.1096622792038935
2013-05-01,Monthly,,,,,,,,,1.1043293698269163
2013-06-01,Monthly,,,,,,,,,1.0158644515385826
2013-07-01,Monthly,,,,,,,,,1.0418638738498798
2013-08-01,Monthly,,,,,,,,,1.0205918672939236
2013-09-01,Monthly,,,,,,,,,0.9441183526345255
2013-10-01,Monthly,,,,,,,,,0.9740250900452404
2013-11-01,Monthly,,,,,,,,,0.9835095617861256
2013-12-01,Monthly,,,,,,,,,0.9964061293238213
2014-01-01,Monthly,,,,,,,,,1.000813100407388
2014-02-01,Monthly,,,,,,,,,1.017457203906259
2014-03-01,Monthly,,,,,,,,,0.9815286176948059
2014-04-01,Monthly,,,,,,,,,0.9584744997458672
2014-05-01,Monthly,,,,,,,,,0.9722307460461278
2014-06-01,Monthly,,,,,,,,,0.9457201845244505
2014-07-01,Monthly,,,,,,,,,0.964859105180972
2014-08-01,Monthly,,,,,,,,,0.9435527834732773
2014-09-01,Monthly,,,,,,,,,0.952593260344046
2014-10-01,Monthly,,,,,,,,,0.9239871867188313
2014-11-01,Monthly,,,,,,,,,0.9283832300212163
