date,frequency,lcr,hqla_stock,net_cash_outflows,cb_lcr,cb_hqla_stock,cb_net_cash_outflows,ibs_lcr,ibs_hqla_stock,ibs_net_cash_outflows,inv_banks_lcr,inv_banks_hqla_stock,inv_banks_net_cash_outflows
2016-12-01,Monthly,1.2430907702026082,481321.55135781993,387197.42990238,1.2455009112600288,356146.86503583996,285946.69166122,1.2488458542213046,106363.34138472,85169.31134871,1.1697559590369224,18811.34493726,16081.426892449997
2017-01-01,Monthly,1.2390497108566603,483375.68529431,390118.07279315,1.2658050569301706,360509.45665963,284806.45948273997,1.150501956164462,103577.26558855,90027.89176808999,1.2620593088351975,19288.963046129997,15283.72154232
2017-02-01,Monthly,1.2735560346697214,509440.53700322006,400014.23033996,1.2692643556801588,377459.35534184997,297384.3499604,1.284306371954855,111364.06570316,86711.44840125,1.2951725387464226,20617.11595821,15918.43197831
2017-03-01,Monthly,1.3070840271243982,537993.42325816,411598.19268984,1.3247053024473077,410272.4988804501,309708.50507089996,1.2564524280688534,107471.99355009,85536.06260706,1.2381921936518832,20248.93082762,16353.62501188
2017-04-01,Monthly,1.3985267603216742,551194.6757045499,394125.22616140003,1.4312972304887188,414712.69514127995,289746.03339354997,1.3201266162625191,115920.81687794,87810.37776977,1.2409555956604403,20561.16368533,16568.814998079997
2017-05-01,Monthly,1.3901776129329513,549787.33086129,395479.9197933901,1.4030874752771458,411556.81749673997,293322.28014896,1.3445739357357733,117185.54643774,87154.40878572,1.4026956676863054,21044.96692681,15003.23085871
2017-06-01,Monthly,1.4081498392803538,536145.5273275098,380744.6568339001,1.4221764502282281,399875.9640455499,281171.83629456005,1.3698047700032283,113804.23470357999,83080.62374707001,1.362179269465766,22465.32857838,16492.19679227
2017-07-01,Monthly,1.3710878315654325,543728.49096,396567.22089,1.3844816178651707,405274.51095,292726.53802,1.3284990171309117,117189.73369,88212.13428,1.360602758314104,21264.24632,15628.54859
2017-08-01,Monthly,1.3323713067692506,545799.67492,409645.32345226,1.3286015626786298,405639.45033,305313.09139226,1.332946766043826,117461.52337,88121.69125,1.40024330378895,22698.70122,16210.54081
2017-09-01,Monthly,1.358388793081382,550820.27826,405495.3052215,1.3739081496168566,405130.79483,294874.7301215,1.3061630486700841,124270.5499,95141.68237,1.3837510152446155,21418.93353,15478.89273
2017-10-01,Monthly,1.3823050092925067,555406.73175,401797.52516,1.4123169958653754,402877.34024,285259.85414,1.3011129732940687,130857.08044,100573.18859,1.3575329588683696,21672.31107,15964.48243
2017-11-01,Monthly,1.3926385590237336,555473.24201,398863.8964581,1.3783193823141382,405600.04981,294271.4547981,1.431777760315481,128373.68907,89660.34578,1.4398181811031876,21499.50313,14932.09588
2017-12-01,Monthly,1.3493662060441634,545928.02067,404581.06793,1.3051092774148703,396568.51075,303858.47194,1.4922535830687687,128400.85556,86044.93031,1.4279283107366703,20958.65436,14677.66568
2018-01-01,Monthly,1.318881954484772,542240.31112,411136.34869,1.293279201178474,394300.72444,304884.45502,1.3909493473886894,127260.95397,91492.15549,1.40101622791794,20678.63271,14759.73818
2018-02-01,Monthly,1.33611141926203,538978.5659,403393.42822,1.307994144031786,388077.33074,296696.53531,1.4217725940753225,130647.50871,91890.58029,1.3679115772985753,20253.72645,14806.31262
2018-03-01,Monthly,1.3984035704035054,557593.59063,398735.81735,1.3527499582452376,396460.28855,293077.28759,1.539443092432289,140963.09992,91567.5939,1.4314309823279545,20170.20216,14090.93586
2018-04-01,Monthly,1.431505292252625,572571.28232,399978.46003,1.4179599546065733,410577.6045,289555.14799,1.4676755424457368,140851.56608,95969.14441,1.4627000517220374,21142.11174,14454.16763
2018-05-01,Monthly,1.4206143987066049,573910.41712,403987.47024,1.4120945578020228,411238.79885,291226.10563,1.4410768329424288,140395.76622,97424.20599,1.4524106193276105,22275.85205,15337.15862
2018-06-01,Monthly,1.3926922905394217,576656.53785,414058.82819,1.3802718761619446,421963.79524,305710.63754,1.4138119256254922,133566.02085,94472.26921,1.522545500949449,21126.72176,13875.92144
2018-07-01,Monthly,1.4150998076928443,583828.30703,412570.40942,1.4210718303953183,425365.79869,299327.44397,1.3840896482466176,137486.21054,99333.31321,1.5080389817136075,20976.2978,13909.65224
2018-08-01,Monthly,1.434522262228839,597437.44387,416471.36444,1.4230527260586203,434342.81377,305219.05887,1.4439659019255418,141331.66912,97877.42836,1.6271522077023988,21762.96098,13374.87721
2018-09-01,Monthly,1.3946188241145863,592518.41483,424860.47412,1.3875995687489464,429232.00356,309334.20075,1.3968397395361016,141463.49818,101273.96449,1.5311844048386916,21822.91309,14252.30888
2018-10-01,Monthly,1.4708465803908937,607251.11259,412858.22783,1.487100097170733,442576.7342,297610.58791,1.4080759995865129,143252.69256,101736.47772,1.5854806206086403,21421.68583,13511.1622
2018-11-01,Monthly,1.4137224775790318,590862.38324,417947.9301,1.3983391897155841,423174.37226,302626.41237,1.4291356734782066,146270.12807,102348.66485,1.6509770910159278,21417.88291,12972.85288
2018-12-01,Monthly,1.432000833209228,598977.79687,418280.34103,1.3963485768245107,417722.76783,299153.64599,1.505734997969218,160383.85725,106515.32804,1.6549492049513743,20871.17179,12611.367
2019-01-01,Monthly,1.4425886769071259,595771.88131,412988.0477,1.4426501453679264,415089.54368,287727.10072,1.4311512053758648,158874.52662,111011.69885,1.5304534534763554,21807.81101,14249.24813
2019-02-01,Monthly,1.4887234629635457,600569.31706,403412.27367,1.494904977766159,409289.94807,273789.94261,1.4582262676807556,168520.05405,115565.09287,1.6190459770533348,22759.31494,14057.23819
