date,frequency,funds_raised_in_the_capital_market_by_public_sector,malaysian_government_securities,mgs_advanced_subscriptions,bonds,malaysian_government_investment_issues,bon_savings_bonds,sukuk_government_housing_sukuk,new_issues_of_debt_securities,mgs,kb,mgii,redemptions_bon_savings_bonds,redemptions_sukuk_government_housing_sukuk,less_government_holdings,net_funds_raised_by_the_public_sector
2011-04-01,Monthly,,5500.07751,0.0,0.0,6000.0965,0.0,,11500.174009999999,18261.465,0.0,0.0,1418.8806999999997,0.0,0.0,-8180.171689999999
2011-05-01,Monthly,,3574.304289,0.0,0.0,4028.122838,0.0,,7602.427127,0.0,0.0,0.0,16.020300000000134,0.0,0.0,7586.406827
2011-06-01,Monthly,,7632.311198660001,0.0,0.0,0.0,0.0,,7632.311198660001,0.0,0.0,3500.0,12.276800000000094,0.0,0.0,4120.03439866
2011-07-01,Monthly,,4195.54606534,0.0,0.0,6650.69267984,0.0,,10846.238745179999,0.0,0.0,3000.0,22.377800000000434,0.0,0.0,7823.860945179998
2011-08-01,Monthly,,5336.86209,0.0,0.0,0.0,0.0,,5336.86209,0.0,0.0,0.0,16.168499999999312,0.0,0.0,5320.693590000001
2011-09-01,Monthly,,4499.94215,0.0,0.0,4134.76038921,0.0,,8634.70253921,19218.0,0.0,1000.0,10.589400000000296,0.0,0.0,-11593.88686079
2011-10-01,Monthly,,6369.219837000001,0.0,0.0,0.0,0.0,,6369.219837000001,0.0,0.0,0.0,19.78410000000008,0.0,0.0,6349.435737000001
2011-11-01,Monthly,,3153.065344,0.0,0.0,3059.28710762,0.0,,6212.35245162,0.0,0.0,0.0,12.883100000000013,0.0,0.0,6199.4693516199995
2011-12-01,Monthly,,0.0,0.0,0.0,3045.67902617,0.0,,3045.67902617,0.0,0.0,0.0,9.744300000000294,0.0,0.0,3035.9347261699995
2012-01-01,Annual,,52498.35477218,0.0,0.0,42235.745427689995,0.0,4500.0,99234.10019987,37563.197,0.0,8500.0,6483.8339,0.0,0.0,46687.069299869996
2012-01-01,Monthly,,3571.11141234,0.0,0.0,0.0,0.0,,3571.11141234,0.0,0.0,0.0,15.620899999999438,0.0,0.0,3555.4905123400004
2012-02-01,Monthly,,4000.08065,0.0,0.0,7500.03395,0.0,,11500.1146,7000.0,0.0,0.0,11.031999999999925,0.0,0.0,4489.082600000001
2012-03-01,Monthly,,3000.112,0.0,0.0,4499.90585,0.0,,7500.01785,0.0,0.0,0.0,1892.2291000000002,0.0,0.0,5607.78875
2012-04-01,Monthly,,9999.9609,0.0,0.0,0.0,0.0,,9999.9609,0.0,0.0,5000.0,8.909899999999652,0.0,0.0,4991.051
2012-05-01,Monthly,,3045.77922,0.0,0.0,4499.8362,0.0,,7545.61542,0.0,0.0,0.0,4556.042,0.0,0.0,2989.5734199999997
2012-06-01,Monthly,,3027.97203263,0.0,0.0,6577.76958739,0.0,,9605.74162002,12563.197,0.0,0.0,0.0,0.0,0.0,-2957.4553799799996
2012-07-01,Monthly,,6163.52270471,0.0,0.0,3556.29569158,0.0,2600.0,12319.81839629,0.0,0.0,0.0,0.0,0.0,0.0,12319.81839629
2012-08-01,Monthly,,4046.75479078,0.0,0.0,3500.02368,0.0,0.0,7546.77847078,14000.0,0.0,0.0,0.0,0.0,0.0,-6453.22152922
2012-09-01,Monthly,,3999.93308,0.0,0.0,4052.37372651,0.0,0.0,8052.30680651,0.0,0.0,3500.0,0.0,0.0,0.0,4552.30680651
2012-10-01,Monthly,,5601.7554084799995,0.0,0.0,2505.537158,0.0,1900.0,10007.292566479999,0.0,0.0,0.0,0.0,0.0,0.0,10007.292566479999
2012-11-01,Monthly,,2512.00781212,0.0,0.0,3499.879,0.0,0.0,6011.886812119999,1000.0,0.0,0.0,0.0,0.0,0.0,5011.886812119999
2012-12-01,Monthly,,3529.36476112,0.0,0.0,2044.09058421,0.0,0.0,5573.45534533,3000.0,0.0,0.0,0.0,0.0,0.0,2573.4553453299995
2013-01-01,Annual,,51423.95788525001,0.0,0.0,41026.948330160005,0.0,4400.0,96850.90621541001,38575.0,0.0,12000.0,2398.8015,0.0,0.0,43877.10471541001
2013-01-01,Monthly,,4499.9444,0.0,0.0,3538.80034554,0.0,0.0,8038.74474554,0.0,0.0,0.0,0.0,0.0,0.0,8038.74474554
2013-02-01,Monthly,,0.0,0.0,0.0,6511.621646,0.0,0.0,6511.621646,11218.65,0.0,0.0,0.0,0.0,0.0,-4707.028354
2013-03-01,Monthly,,8999.771799999999,0.0,0.0,0.0,0.0,1700.0,10699.771799999999,0.0,0.0,6000.0,0.0,0.0,0.0,4699.771799999999
2013-04-01,Monthly,,6017.51648772,0.0,0.0,3999.85525,0.0,0.0,10017.371737720001,0.0,0.0,0.0,18.083700000000135,0.0,0.0,9999.288037720002
2013-05-01,Monthly,,3562.5932599700045,0.0,0.0,4000.059,0.0,0.0,7562.652259970005,12000.0,0.0,0.0,0.0,0.0,0.0,-4437.347740029995
2013-06-01,Monthly,,3000.1568,0.0,0.0,3976.36590862,0.0,0.0,6976.52270862,0.0,0.0,0.0,2380.7178,0.0,0.0,4595.804908620001
2013-07-01,Monthly,,7978.583497950001,0.0,0.0,3999.9771,0.0,0.0,11978.560597950001,9244.0,0.0,3000.0,0.0,0.0,0.0,-265.43940204999853
2013-08-01,Monthly,,0.0,0.0,0.0,2499.9638,0.0,2700.0,5199.9637999999995,0.0,0.0,0.0,0.0,0.0,0.0,5199.9637999999995
2013-09-01,Monthly,,5965.5939504800035,0.0,0.0,3500.0982,0.0,0.0,9465.692150480003,0.0,0.0,3000.0,0.0,0.0,0.0,6465.692150480003
2013-10-01,Monthly,,2933.521816,0.0,0.0,2999.96963,0.0,0.0,5933.491446,6112.35,0.0,0.0,0.0,0.0,0.0,-178.85855400000037
2013-11-01,Monthly,,4930.598831000001,0.0,0.0,4000.1889,0.0,0.0,8930.787731,0.0,0.0,0.0,0.0,0.0,0.0,8930.787731
2013-12-01,Monthly,,3535.677042129999,0.0,0.0,2000.04855,0.0,0.0,5535.725592129998,0.0,0.0,0.0,0.0,0.0,0.0,5535.725592129998
2014-01-01,Annual,,51416.80175062,0.0,0.0,33919.441773620005,0.0,11500.0,96836.24352424001,26442.680999999997,0.0,20500.0,0.0,0.0,0.0,49893.56252424001
2014-01-01,Monthly,,3999.96985,0.0,0.0,3463.572655,0.0,0.0,7463.542504999999,0.0,0.0,0.0,0.0,0.0,0.0,7463.542504999999
2014-02-01,Monthly,,2493.27218568,0.0,0.0,2976.2678169000005,0.0,4000.0,9469.54000258,0.0,0.0,3500.0,0.0,0.0,0.0,5969.540002580001
2014-03-01,Monthly,,8000.0639,0.0,0.0,2579.046323,0.0,0.0,10579.110223,0.0,0.0,0.0,0.0,0.0,0.0,10579.110223
2014-04-01,Monthly,,4000.0187,0.0,0.0,1589.4764570700004,0.0,2600.0,8189.495157070001,16042.680999999997,0.0,0.0,0.0,0.0,0.0,-7853.1858429299955
2014-05-01,Monthly,,4895.54509248,0.0,0.0,3999.956,0.0,0.0,8895.50109248,0.0,0.0,0.0,0.0,0.0,0.0,8895.50109248
2014-06-01,Monthly,,3019.889344,0.0,0.0,4460.33175202,0.0,0.0,7480.22109602,0.0,0.0,0.0,0.0,0.0,0.0,7480.22109602
2014-07-01,Monthly,,3014.673312669999,0.0,0.0,1596.46677,0.0,0.0,4611.140082669999,0.0,0.0,4500.0,0.0,0.0,0.0,111.14008266999917
2014-08-01,Monthly,,3606.000024,0.0,0.0,3108.063878,0.0,1500.0,8214.063902,8400.0,0.0,0.0,0.0,0.0,0.0,-185.93609800000013
2014-09-01,Monthly,,5658.01862929,0.0,0.0,3517.329,0.0,0.0,9175.34762929,0.0,0.0,7000.0,0.0,0.0,0.0,2175.3476292899995
2014-10-01,Monthly,,2604.68783,0.0,0.0,3557.410475,0.0,3400.0,9562.098305,2000.0,0.0,0.0,0.0,0.0,0.0,7562.0983049999995
2014-11-01,Monthly,,7139.51407823,0.0,0.0,0.0,0.0,0.0,7139.51407823,0.0,0.0,0.0,0.0,0.0,0.0,7139.51407823
2014-12-01,Monthly,,2985.14880427,0.0,0.0,3071.52064663,0.0,0.0,6056.6694509,0.0,0.0,5500.0,0.0,0.0,0.0,556.6694508999999
2015-01-01,Annual,,51332.48836574,0.0,0.0,41056.197532590006,0.0,8000.0,100388.68589833,41069.44,0.0,12500.0,0.0,0.0,0.0,46819.24589833
