date,frequency,initial_public_offers,rights_issues,restricted_offer_for_sale,special_issues,preference_shares,warrants,new_issues_of_shares_war_rants,straight_bonds,bonds_with_war_rants,conver_tible_bonds,islamic_bonds,asset_backed_bonds,medium_term_notes,bon_cagamas_bonds,new_issues_of_corporate_bond_and_or_sukuk,corporate_bond_and_or_sukuk,redemptions_bon_cagamas_bonds,net_issues_of_corporate_bond_and_or_sukuk,net_funds_raised_by_the_private_sector
2009-11-01,Monthly,11451.819,57.616,0.0,0.0,0.0,0.0,11509.435,888.0,0.0,528.472234,0.0,0.0,8074.806,0.0,9491.278234,2231.95762478,0.0,7259.320309219998,18768.755309219996
2009-12-01,Monthly,44.352000000000004,1230.639,0.0,0.0,0.0,0.42,1275.411,890.0,0.0,0.0,0.0,0.0,2341.234133,0.0,3231.234133,2160.4,0.0,1070.8341329999998,2346.245133
2010-01-01,Annual,19799.884511,12249.970054439998,0.0,0.0,0.0,89.05382485,32138.90839029,5286.378293000001,0.0,189.524318,3227.66783268,383.8,43041.062129269994,0.0,52128.43257295,31460.15850548,2310.0,18358.274067469996,50497.18245775999
2010-01-01,Monthly,0.0,182.46,0.0,0.0,0.0,2.04,184.5,0.0,0.0,0.0,0.0,100.0,229.945,0.0,329.945,1286.8726000000001,200.0,-1156.9276000000002,-972.4276000000002
2010-02-01,Monthly,1089.03,5984.22097808,0.0,0.0,0.0,0.55,7073.80097808,0.0,0.0,41.52233,0.0,0.0,833.71954489,0.0,875.24187489,4849.885,665.0,-4639.64312511,2434.15785297
2010-03-01,Monthly,148.94400000000002,3617.8051056000004,0.0,0.0,0.0,0.0,3766.7491056000003,638.2245,0.0,68.280948,761.49765768,0.0,2002.51630897,0.0,3470.51941465,903.8159874799999,700.0,1866.70342717,5633.45253277
2010-04-01,Monthly,39.95068,1260.2331428,0.0,0.0,0.0,12.528662800000001,1312.7124855999998,750.654449,0.0,0.0,204.0,100.0,8091.7975558299995,0.0,9146.45200483,1764.7924179999998,245.0,7136.65958683,8449.37207243
2010-05-01,Monthly,772.84015,0.0,0.0,0.0,0.0,26.7645139,799.6046639,0.0,0.0,0.0,0.0,0.0,2469.39575,0.0,2469.39575,2566.5254999999997,500.0,-597.1297499999996,202.4749139000004
2010-06-01,Monthly,2129.110201,0.0,0.0,0.0,0.0,0.0,2129.110201,13.256,0.0,0.0,500.0,0.0,2591.512,0.0,3104.768,1845.8829999999998,0.0,1258.8850000000002,3387.995201
2010-07-01,Monthly,1082.73958,740.64272946,0.0,0.0,0.0,0.0,1823.38230946,0.0,0.0,0.0,112.170175,100.0,1755.9154999999998,0.0,1968.0856749999998,2412.307,0.0,-444.221325,1379.16098446
2010-08-01,Monthly,0.0,55.5664,0.0,0.0,0.0,23.090527450000003,78.65692745000001,700.0,0.0,0.0,0.0,0.0,3751.756,0.0,4451.755999999999,2984.108,0.0,1467.6479999999992,1546.3049274499992
2010-09-01,Monthly,36.288000000000004,203.65163800000002,0.0,0.0,0.0,0.0,239.93963800000003,0.0,0.0,0.0,550.0,83.8,7357.74,0.0,7991.54,3216.0969999999998,0.0,4775.443,5015.382638
2010-10-01,Monthly,1772.8873999999998,102.64141649999999,0.0,0.0,0.0,18.96809994,1894.49691644,86.668,0.0,0.0,0.0,0.0,3411.6485390000003,0.0,3498.3165390000004,2314.64,0.0,1183.6765390000005,3078.1734554400005
2010-11-01,Monthly,12547.9085,31.705499999999997,0.0,0.0,0.0,4.27623944,12583.89023944,500.0,0.0,0.0,600.0,0.0,1014.75715237,0.0,2114.75715237,5026.637,0.0,-2911.87984763,9672.01039181
2010-12-01,Monthly,180.186,71.043144,0.0,0.0,0.0,0.83578132,252.06492532,2597.5753440000003,0.0,79.72104,500.0,0.0,9530.35877821,0.0,12707.655162210001,2288.595,0.0,10419.060162210002,10671.125087530003
2011-01-01,Annual,7378.038669,5217.64144822,0.0,0.0,0.0,25.35604385,12621.036161069998,9628.817701109998,0.0,0.0,4635.4400000000005,0.0,55296.38911117001,0.0,69560.64681228,44332.172356883,720.0,24508.474455397,37129.510616467
